   0.00127	       128
   0.00603	       124
    0.0117	       120
    0.0171	       115
    0.0228	       111
    0.0282	       106
    0.0346	       102
    0.0431	      94.8
    0.0476	      90.8
    0.0545	      85.3
    0.0622	      78.2
    0.0682	      73.3
    0.0764	      66.3
    0.0856	      58.6
    0.0939	      51.5
    0.0999	      47.2
      0.11	      39.6
     0.117	      34.7
     0.123	      29.8
     0.128	      25.5
     0.136	      18.7
     0.142	      12.6
      0.15	      5.83
     0.156	      0.92

