Run	FFreq	FAmp	TRuox	TCx
1.000000000000000000e+00	2.970559999999999900e+03	2.536700000000000100e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+00	2.981809999999999900e+03	2.526900000000000000e-02	0.000000000000000000e+00	0.000000000000000000e+00
3.000000000000000000e+00	2.971659999999999900e+03	2.535499999999999900e-02	3.601712218853606000e-01	9.309980431430348700e-04
4.000000000000000000e+00	2.981639999999999900e+03	2.521400000000000000e-02	3.602212830056473200e-01	8.986304497990204900e-04
5.000000000000000000e+00	2.971250000000000000e+03	2.539599999999999800e-02	3.399561937304510500e-01	7.401946617105803300e-04
6.000000000000000000e+00	2.982010000000000200e+03	2.550799999999999900e-02	3.302210907437908000e-01	6.105603984393033500e-03
7.000000000000000000e+00	2.972230000000000000e+03	2.538800000000000100e-02	0.000000000000000000e+00	0.000000000000000000e+00
8.000000000000000000e+00	2.982679999999999800e+03	1.453499999999999900e-02	1.086563457249125200e+00	1.657714713534516300e-02
9.000000000000000000e+00	2.972820000000000200e+03	1.163400000000000000e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+01	2.983020000000000000e+03	1.152199999999999900e-02	1.348992209996341600e+00	3.470509194511540200e-03
1.100000000000000000e+01	2.972929999999999800e+03	1.156500000000000100e-02	1.354759439897309100e+00	2.491990430430880500e-03
1.200000000000000000e+01	2.982889999999999900e+03	1.151400000000000000e-02	1.354858088449972100e+00	2.223125769937168500e-03
1.300000000000000000e+01	2.973090000000000100e+03	8.458699999999999600e-03	1.588000000000000100e+00	1.000000000000000000e-03
1.400000000000000000e+01	2.982960000000000000e+03	8.413300000000000300e-03	1.587000000000000000e+00	4.000000000000000100e-03
1.500000000000000000e+01	2.973190000000000100e+03	4.927100000000000200e-03	0.000000000000000000e+00	0.000000000000000000e+00
1.600000000000000000e+01	2.983179999999999800e+03	4.897200000000000000e-03	0.000000000000000000e+00	0.000000000000000000e+00
1.700000000000000000e+01	2.973469999999999800e+03	2.773100000000000100e-03	0.000000000000000000e+00	0.000000000000000000e+00
1.800000000000000000e+01	2.983130000000000100e+03	2.727700000000000000e-03	0.000000000000000000e+00	0.000000000000000000e+00
1.900000000000000000e+01	2.974980000000000000e+03	2.508000000000000200e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+01	2.985559999999999900e+03	2.489100000000000000e-02	4.430560579347373500e-01	2.468592066058375700e-03
2.100000000000000000e+01	2.975599999999999900e+03	2.190699999999999900e-02	6.479378599028348100e-01	8.359255885819992800e-04
2.200000000000000000e+01	2.985659999999999900e+03	2.172700000000000000e-02	6.534261628124851100e-01	2.402811279307896200e-03
2.300000000000000000e+01	2.975590000000000100e+03	2.157399999999999900e-02	6.667835059603078900e-01	7.608055890428526100e-04
2.400000000000000000e+01	2.985619999999999900e+03	2.144600000000000000e-02	6.704744266705874300e-01	2.057866119610844900e-03
2.500000000000000000e+01	2.975670000000000100e+03	1.743499999999999900e-02	9.112415440646504100e-01	7.720374895454666000e-04
2.600000000000000000e+01	2.985710000000000000e+03	1.725700000000000200e-02	9.161271855280949100e-01	2.888425834665858200e-03
2.700000000000000000e+01	2.975670000000000100e+03	1.381900000000000000e-02	1.150465404116826700e+00	3.952637068295875200e-03
2.800000000000000000e+01	2.985739999999999800e+03	1.365800000000000000e-02	1.158600000503960100e+00	6.522906206909488000e-03
2.900000000000000000e+01	2.975469999999999800e+03	2.176700000000000200e-02	6.535795410546785300e-01	1.895826365273231800e-03
3.000000000000000000e+01	2.985739999999999800e+03	2.268500000000000000e-02	5.908360943667604300e-01	1.161601351813803400e-02
3.100000000000000000e+01	2.975699999999999800e+03	9.766000000000000400e-03	7.939977842866288200e-01	2.763752898948585200e-03
3.200000000000000000e+01	2.985630000000000100e+03	9.716300000000000600e-03	7.992382581951549300e-01	3.338840729685435800e-03
3.300000000000000000e+01	2.975690000000000100e+03	9.605900000000000500e-03	8.134000474966846000e-01	1.649463920672468500e-03
3.400000000000000000e+01	2.985710000000000000e+03	4.166099999999999700e-02	6.678921366200864000e-01	5.717469323742494800e-03
3.500000000000000000e+01	2.975570000000000200e+03	5.862800000000000000e-02	6.866794808667021600e-01	9.910669693282822200e-04
3.600000000000000000e+01	2.985699999999999800e+03	2.109099999999999900e-02	6.904897887051250100e-01	1.988582787966902700e-03
3.700000000000000000e+01	2.975570000000000200e+03	2.408000000000000100e-02	5.065215678302788000e-01	1.020518139336830900e-03
3.800000000000000000e+01	2.985670000000000100e+03	2.395299999999999900e-02	5.083286236761263000e-01	7.583556756002456100e-04
3.900000000000000000e+01	2.975540000000000000e+03	2.364499999999999900e-02	5.359614016985421200e-01	1.116988569907252600e-03
4.000000000000000000e+01	2.985760000000000200e+03	2.353900000000000100e-02	5.379662271858989300e-01	1.117108354677940100e-03
4.100000000000000000e+01	2.975530000000000200e+03	2.310999999999999900e-02	5.706672313973771800e-01	2.580201797028744100e-03
4.200000000000000000e+01	2.985800000000000200e+03	2.282000000000000000e-02	5.837428339437585900e-01	8.055574758386255900e-03
4.300000000000000000e+01	2.975659999999999900e+03	2.156599999999999800e-02	6.628017642022319100e-01	3.643933714059253800e-03
4.400000000000000000e+01	2.985690000000000100e+03	2.144799999999999800e-02	6.662421788864698600e-01	1.138412815060495500e-03
