     0.551	      1.33
      5.51	      1.43
      8.82	      1.51
      12.7	      1.62
      18.2	      1.72
      23.7	      1.84
      28.7	      1.95
      35.3	      2.09
      42.5	      2.23
      49.1	      2.35
      56.3	      2.47
      65.6	      2.61
      74.4	      2.73
      85.5	      2.86
      93.8	      2.93
       105	      3.02
       116	      3.07
       130	       3.1
       138	      3.11
       151	      3.09
       158	      3.05
       172	         3
       184	      2.94
       191	       2.9
       201	      2.85
       212	      2.79
       221	      2.75
       231	      2.69
       239	      2.64
       249	      2.58
       260	      2.52
       270	      2.45
       282	      2.39
       291	      2.34
       300	      2.29

