T(K)	Rh	Rh Err
1.4000	1.1507	0.022689
2.0000	1.1610	0.083729
3.2000	1.2107	0.053549
4.0000	1.2203	0.030260
7.0000	1.2918	0.037868
10.100	1.2350	0.046832
15.600	1.2423	0.028769
30.000	1.2932	0.00026180
40.000	1.3048	0.00022520
50.000	1.3105	0.00040568
60.000	1.3124	0.00035776
70.000	1.3094	0.00044782
80.000	1.3047	0.00044360
90.000	1.2980	0.00050341
100.00	1.2884	0.00045354
110.00	1.2774	0.00035383
120.00	1.2652	0.00027822
130.00	1.2522	0.00025922
140.00	1.2386	0.00030233
150.00	1.2236	0.00024915
160.00	1.2089	0.00027471
170.00	1.1934	0.00024003
180.00	1.1793	0.00023343
190.00	1.1637	0.00020702
200.00	1.1498	0.00018959
210.00	1.1358	0.00019878
220.00	1.1239	0.00059403
230.00	1.1116	0.00036939
240.00	1.0910	0.00042346
250.00	1.0766	0.00056177
260.00	1.0676	0.00029329
270.00	1.0529	0.00017800
280.00	1.0393	0.00021510
290.00	1.0313	0.00025962
300.00	1.0155	0.00026464
