      36.3	      2.83
      40.7	         3
      45.9	      3.15
      51.1	      3.27
        59	      3.45
      69.5	      3.64
      74.7	      3.73
      80.8	      3.81
      86.1	      3.87
        93	      3.94
       101	      4.01
       110	      4.06
       121	      4.09
       130	       4.1
       141	      4.09
       151	      4.06
       157	      4.02
       176	      3.93
       201	      3.76
       225	      3.56
       250	      3.36
       273	       3.2
       292	      3.06
       301	         3
      35.9	      1.34
      39.4	      1.38
      42.9	       1.4
      50.7	      1.43
      54.2	      1.45
      66.4	      1.46
      72.5	      1.46
      82.1	      1.46
      89.9	      1.45
      99.4	      1.44
       110	      1.42
       125	      1.41
       149	      1.36
       174	      1.31
       199	      1.27
       222	      1.22
       246	      1.19
       275	      1.14
       296	      1.11
      40.4	      2.04
      45.7	      2.19
      50.9	      2.34
      53.6	      2.39
      56.2	      2.46
      59.7	      2.51
      67.5	      2.65
      78.9	      2.79
      90.2	       2.9
      99.8	      2.96
       110	      2.99
       125	         3
       138	      2.97
       150	      2.93
       175	       2.8
       201	      2.66
       225	      2.51
       249	      2.36
       276	      2.23
       302	       2.1
      40.4	      1.69
      45.6	      1.82
        50	      1.87
      56.1	      1.91
      67.4	      1.94
      74.3	      1.94
      79.6	      1.94
      91.7	      1.93
      99.5	      1.92
       125	      1.85
       150	      1.77
       174	      1.69
       200	      1.61
       225	      1.55
       250	      1.48
       299	      1.37
      41.2	      1.65
      47.4	      1.91
      57.9	      2.12
      67.4	      2.23
      75.3	      2.29
      77.9	       2.3
      80.5	      2.32
      84.9	      2.34
      89.2	      2.36
      95.3	      2.36
      99.6	      2.37
       105	      2.36
       110	      2.36
       118	      2.34
       125	      2.33
       139	      2.28
       150	      2.23
       165	      2.17
       176	      2.13
       185	      2.09
       200	      2.02
       225	      1.91
       248	      1.82
       275	      1.73
       298	      1.66



