     0.000	         2
     0.000	       1.8
      5.96	      1.74
      5.93	      1.99
      10.3	      1.77
      12.8	      1.77
      15.3	      1.79
        13	      1.95
      15.3	      1.94
      19.1	      1.93
      18.5	      1.92
      21.3	      1.89
      23.7	      1.83
      23.7	      1.92
      26.8	      1.91
      29.8	      1.89
      29.3	      1.87
      31.7	      1.86
        35	      1.83
        35	      1.91
      37.9	      1.86
      41.7	      1.86
      40.5	      1.88
      44.7	      1.84
      47.4	      1.89
      49.7	      1.89
      52.9	      1.83

