min F=2; num_slices=100; num_pts=200
angle,B_x,B_y,B_z,band number,Wien2k band number,spin dirn,branch,area [Angstrom^-2],freq [T],k_x,k_y,k_z,k_parallel,slicenum,inplane dk (Angstrom^-1),dF/dkpara^2,mass (m_e),df/dM [T/(mu_B/f.u.)],freq [kT],freq*cos(angle) [kT]
2.000000000000000000e+00,0.000000000000000000e+00,-3.489950000000000000e-02,9.993908000000000200e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.406967000000000100e+03,8.165257000000000200e-01,-8.225411999999999700e-01,-2.497873999999999900e-01,-2.209289000000000100e-01,3.500000000000000000e+01,1.801014999999999900e-02,-2.048902000000000000e+04,8.193127000000000000e-01,0.000000000000000000e+00,1.406967000000000100e+00,1.406109913718576200e+00
2.000000000000000000e+00,0.000000000000000000e+00,-3.489950000000000000e-02,9.993908000000000200e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.407294000000000100e+03,8.144843000000000500e-01,-8.222110000000000300e-01,2.492134000000000000e-01,2.777563000000000100e-01,7.900000000000000000e+01,1.801014999999999900e-02,-2.314513000000000100e+04,8.215550000000000400e-01,0.000000000000000000e+00,1.407294000000000000e+00,1.406436714519011300e+00
2.000000000000000000e+00,0.000000000000000000e+00,-3.489950000000000000e-02,9.993908000000000200e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.406948000000000100e+03,-8.190239000000000300e-01,-8.216974000000000200e-01,-2.517756999999999900e-01,-2.229454999999999900e-01,3.500000000000000000e+01,1.801014999999999900e-02,-1.908891999999999800e+04,8.185094000000000500e-01,0.000000000000000000e+00,1.406948000000000100e+00,1.406090925292862800e+00
2.000000000000000000e+00,0.000000000000000000e+00,-3.489950000000000000e-02,9.993908000000000200e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.407057000000000000e+03,-8.189222999999999900e-01,-8.218642999999999900e-01,2.493883000000000100e-01,2.779190000000000300e-01,7.900000000000000000e+01,1.801014999999999900e-02,-2.118070999999999900e+04,8.192635000000000300e-01,0.000000000000000000e+00,1.407057000000000000e+00,1.406199858893007800e+00
2.000000000000000000e+00,0.000000000000000000e+00,-3.489950000000000000e-02,9.993908000000000200e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,1.407144000000000000e+03,-8.157121000000000500e-01,8.182492999999999600e-01,-2.508014000000000100e-01,-2.792050999999999800e-01,3.000000000000000000e+01,1.801014999999999900e-02,-2.107265000000000100e+04,8.210918999999999900e-01,0.000000000000000000e+00,1.407144000000000000e+00,1.406286805894958500e+00
2.000000000000000000e+00,0.000000000000000000e+00,-3.489950000000000000e-02,9.993908000000000200e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,1.407119999999999900e+03,-8.226687000000000300e-01,8.178492000000000500e-01,2.497443000000000000e-01,2.210496000000000100e-01,7.400000000000000000e+01,1.801014999999999900e-02,-2.169616999999999800e+04,8.198144000000000500e-01,0.000000000000000000e+00,1.407119999999999900e+00,1.406262820515110000e+00
2.000000000000000000e+00,0.000000000000000000e+00,-3.489950000000000000e-02,9.993908000000000200e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,1.407291999999999900e+03,8.141079000000000000e-01,8.183618999999999800e-01,-2.493558999999999900e-01,-2.777644000000000200e-01,3.000000000000000000e+01,1.801014999999999900e-02,-2.319795999999999900e+04,8.214112000000000100e-01,0.000000000000000000e+00,1.407292000000000000e+00,1.406434715737357300e+00
2.000000000000000000e+00,0.000000000000000000e+00,-3.489950000000000000e-02,9.993908000000000200e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,1.407444999999999900e+03,8.170821999999999800e-01,8.177628000000000100e-01,2.495671999999999900e-01,2.208757000000000100e-01,7.400000000000000000e+01,1.801014999999999900e-02,-2.390131000000000100e+04,8.228763999999999500e-01,0.000000000000000000e+00,1.407444999999999800e+00,1.406587622533891100e+00
3.000000000000000000e+00,0.000000000000000000e+00,-5.233596000000000100e-02,9.986294999999999500e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.408396000000000000e+03,-8.231758999999999600e-01,-8.184200999999999800e-01,-2.530659000000000100e-01,-2.098861999999999900e-01,3.600000000000000000e+01,1.800884000000000200e-02,-2.195100000000000000e+04,8.272494000000000200e-01,0.000000000000000000e+00,1.408396000000000000e+00,1.406465842230202800e+00
3.000000000000000000e+00,0.000000000000000000e+00,-5.233596000000000100e-02,9.986294999999999500e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.408684999999999900e+03,-8.169874000000000300e-01,-8.225565999999999700e-01,2.504252000000000100e-01,2.931312999999999800e-01,8.100000000000000000e+01,1.800884000000000200e-02,-2.624847000000000100e+04,8.151842000000000300e-01,0.000000000000000000e+00,1.408685000000000000e+00,1.406754446165746900e+00
