min F=2; num_slices=100; num_pts=200
angle,B_x,B_y,B_z,band number,Wien2k band number,spin dirn,branch,area [Angstrom^-2],freq [T],k_x,k_y,k_z,k_parallel,slicenum,inplane dk (Angstrom^-1),dF/dkpara^2,mass (m_e),df/dM [T/(mu_B/f.u.)],freq [kT],freq*cos(angle) [kT]
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.161407999999999900e+03,8.201136000000000000e-01,-8.215476000000000400e-01,-4.985466000000000100e-01,-4.985466000000000100e-01,1.000000000000000000e+01,1.801119000000000000e-02,1.174821999999999900e+04,1.020786000000000000e+00,0.000000000000000000e+00,1.161408000000000000e+00,1.161408000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.161407999999999900e+03,8.201136000000000000e-01,-8.215476000000000400e-01,4.985466000000000100e-01,4.985466000000000100e-01,9.900000000000000000e+01,1.801119000000000000e-02,1.174821999999999900e+04,1.020786000000000000e+00,0.000000000000000000e+00,1.161408000000000000e+00,1.161408000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,1.161407999999999900e+03,-8.212106000000000100e-01,8.212682000000000000e-01,-4.985466000000000100e-01,-4.985466000000000100e-01,1.000000000000000000e+01,1.801119000000000000e-02,1.174821999999999900e+04,1.020786000000000000e+00,0.000000000000000000e+00,1.161408000000000000e+00,1.161408000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.161407999999999900e+03,-8.212106000000000100e-01,8.212682000000000000e-01,4.985466000000000100e-01,4.985466000000000100e-01,9.900000000000000000e+01,1.801119000000000000e-02,1.174821999999999900e+04,1.020786000000000000e+00,0.000000000000000000e+00,1.161408000000000000e+00,1.161408000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.100000000000000000e+01,0.000000000000000000e+00,1.161226000000000100e+03,8.186917000000000200e-01,8.198957999999999500e-01,-5.019998000000000000e-01,-5.019998000000000000e-01,1.000000000000000000e+01,1.801119000000000000e-02,1.261502000000000000e+04,1.022251999999999900e+00,0.000000000000000000e+00,1.161226000000000100e+00,1.161226000000000100e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.400000000000000000e+01,0.000000000000000000e+00,1.161226000000000100e+03,8.186917000000000200e-01,8.198957999999999500e-01,5.019998000000000000e-01,5.019998000000000000e-01,9.900000000000000000e+01,1.801119000000000000e-02,1.261502000000000000e+04,1.022251999999999900e+00,0.000000000000000000e+00,1.161226000000000100e+00,1.161226000000000100e+00
1.000000000000000000e+00,0.000000000000000000e+00,-1.745241000000000200e-02,9.998477000000000100e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00,1.161992999999999900e+03,-8.197702999999999500e-01,-8.202977000000000200e-01,-5.096918999999999800e-01,-4.952981000000000200e-01,1.000000000000000000e+01,1.801093000000000100e-02,7.276277000000000000e+03,1.026945000000000000e+00,0.000000000000000000e+00,1.161992999999999800e+00,1.161816022837860500e+00
1.000000000000000000e+00,0.000000000000000000e+00,-1.745241000000000200e-02,9.998477000000000100e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.600000000000000000e+01,0.000000000000000000e+00,1.161960000000000000e+03,-8.197073999999999700e-01,-8.197891000000000500e-01,5.002189000000000200e-01,5.144499999999999600e-01,1.010000000000000000e+02,1.801093000000000100e-02,7.574408999999999700e+03,1.026184999999999900e+00,0.000000000000000000e+00,1.161960000000000100e+00,1.161783027863920500e+00
1.000000000000000000e+00,0.000000000000000000e+00,-1.745241000000000200e-02,9.998477000000000100e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.100000000000000000e+01,0.000000000000000000e+00,1.162357999999999900e+03,8.174291999999999700e-01,8.188408999999999800e-01,-5.102691999999999800e-01,-5.244822999999999600e-01,8.000000000000000000e+00,1.801093000000000100e-02,4.746172999999999800e+03,1.022691000000000000e+00,0.000000000000000000e+00,1.162358000000000000e+00,1.162180967246592600e+00
1.000000000000000000e+00,0.000000000000000000e+00,-1.745241000000000200e-02,9.998477000000000100e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.700000000000000000e+01,0.000000000000000000e+00,1.162373000000000000e+03,8.166662999999999600e-01,8.203027000000000500e-01,1.533879000000000000e-02,1.020201000000000100e-03,5.500000000000000000e+01,1.801093000000000100e-02,1.023559000000000000e+04,1.017366999999999900e+00,0.000000000000000000e+00,1.162373000000000100e+00,1.162195964962020200e+00
