T	Rh (cm3 x10-3)	RelErrRh (cm3 x10-3)	ErrRh (cm3 x10-3)	MinRh (cm3 x10-3)
2.000000000000000000e+00	8.560555804149367898e-01	5.302181196970949528e-04	9.180881136586726415e-03	8.266216755389999005e-01
4.000000000000000000e+00	8.443331958007899152e-01	5.545776763957962520e-04	8.922312142391201212e-03	8.337722102669999913e-01
1.000000000000000000e+01	8.416346063332383887e-01	3.938417844167246351e-04	8.897585999541574031e-03	8.387486871600000615e-01
1.500000000000000000e+01	8.452785053532821946e-01	1.621539367425421814e-04	8.906121865223878137e-03	8.433433354199999510e-01
2.000000000000000000e+01	8.525773327341367169e-01	2.021977660930341324e-04	8.998732040756319064e-03	8.504218795794999952e-01
3.000000000000000000e+01	8.633486857840834139e-01	4.248874404475366101e-04	9.118546774663317811e-03	8.618542159230000443e-01
4.000000000000000000e+01	8.719282008717745835e-01	5.640674676312858182e-04	9.222133782249583231e-03	8.687927642285000474e-01
5.000000000000000000e+01	8.775460428542694036e-01	3.666717096566664931e-04	9.268706413946437711e-03	8.752285876359999772e-01
6.000000000000000000e+01	8.807852841966697932e-01	3.623456632564452909e-04	9.294767490957495798e-03	8.785290246610000242e-01
7.000000000000000000e+01	8.812697556839811375e-01	3.730733712280865982e-04	9.303541783269793017e-03	8.810062453075000466e-01
8.000000000000000000e+01	8.787714688439612898e-01	3.554201624052422039e-04	9.279916259808104750e-03	8.781842713395000555e-01
9.000000000000000000e+01	8.740068518825616639e-01	3.706306595652211723e-04	9.226766262396685070e-03	8.733933893820000627e-01
1.000000000000000000e+02	8.674007269549187660e-01	4.083475405066355822e-04	9.161529652183126801e-03	8.650217934230000072e-01
1.100000000000000000e+02	8.612520909526759638e-01	3.863940669579494667e-04	9.092549787654247498e-03	8.608227582995000571e-01
1.200000000000000000e+02	8.534324724977617738e-01	4.031563494535558823e-04	9.012350966918427839e-03	8.509791783575000323e-01
1.300000000000000000e+02	8.438430479794336581e-01	3.824323022223089603e-04	8.901858567090890212e-03	8.435494226424999908e-01
1.400000000000000000e+02	8.311655499083461240e-01	3.359066230505449325e-04	8.818187807629126670e-03	8.273535664339999318e-01
1.500000000000000000e+02	8.232186969555186362e-01	1.475982551673484650e-04	8.686058285448579677e-03	8.219735411349999854e-01
1.600000000000000000e+02	8.130790601711996857e-01	1.351267765898264694e-04	8.581808864306636475e-03	8.119275118215000253e-01
1.700000000000000000e+02	8.021714092405940466e-01	1.473730222875192287e-04	8.456754152360607124e-03	8.013880110800000178e-01
1.800000000000000000e+02	7.915082086042766196e-01	1.330356893224334057e-04	8.340313381008390009e-03	7.905646094939999813e-01
1.900000000000000000e+02	7.811257757253129430e-01	9.809139465691098562e-05	8.240737553851120931e-03	7.796385945029999931e-01
2.000000000000000000e+02	7.699914155171335706e-01	1.467095625570912908e-04	8.123041835370159447e-03	7.688135750829999671e-01
2.100000000000000000e+02	7.598108314522000750e-01	1.355224754543633066e-04	8.022368140887484178e-03	7.588323789539999087e-01
2.200000000000000000e+02	7.498334740728013204e-01	1.239744030052718974e-04	7.918587227440989154e-03	7.480187385450000059e-01
2.300000000000000000e+02	7.349589103216376262e-01	1.325376152447108719e-04	7.729329079579942523e-03	7.361718321785000185e-01
2.400000000000000000e+02	7.263451132800247123e-01	1.558691494765181531e-04	7.644553604728984014e-03	7.257897976634999360e-01
2.500000000000000000e+02	7.181177815972794587e-01	1.329053085985844058e-04	7.559260225574778412e-03	7.164896680404999607e-01
2.600000000000000000e+02	7.080872961580322311e-01	1.302315805399589810e-04	7.452401646931220390e-03	7.076765893754999315e-01
2.700000000000000000e+02	6.990165794319478376e-01	1.622537947642095288e-04	7.359021467230847206e-03	6.978129164434999643e-01
2.800000000000000000e+02	6.894443227818974895e-01	1.697351994267366944e-04	7.259644759562451991e-03	6.886577453105000579e-01
2.900000000000000000e+02	6.819085552040516918e-01	1.745118301430113492e-04	7.211796487400187403e-03	6.787486410095000533e-01
3.000000000000000000e+02	6.727111016552613787e-01	1.939722621428545076e-04	7.100961322076431749e-03	6.731602991870000441e-01
