T(K)	Rh	Rh Err
35.5	1.431944	0.0731685
40.0	1.533806	0.080786
45.2	1.535668	0.057028
50.5	1.642323	0.0474775
55.1	1.748432	0.057512
59.5	1.73985	0.0718055
