T(K)	Rh	Rh Err
1.5	1.308467	0.07468971
4.2	1.390077	0.03134702
10.0	1.322545	0.03081957
20.0	1.519826	0.03337678
30.0	1.633555	0.012799
40.0	1.847304	0.01429093
50.0	1.743793	0.0147122
60.0	1.81947	0.01489344
85.0	1.8539	0.01467888
100.0	1.844118	0.0145778
