T(K)	Rh	Rh Err
1.4	0.7974181	0.0138781
2.0	0.8031459	0.0266259
3.2	0.8307386	0.0158786
4.0	0.8247561	0.0082761
7.0	0.839635	0.002635
10.1	0.8420735	0.0029135
15.6	0.8423435	0.0026435
