T(K)	Rh	Rh Err
1.5	1.099573	0.1688865
4.2	1.182577	0.1212001
10.0	1.076587	0.1286272
20.0	1.185809	0.01580037
30.0	1.246585	0.01550925
60.0	1.282984	0.04081909
