T	Rh (cm3 x10-3)	RelErrRh (cm3 x10-3)	ErrRh (cm3 x10-3)	MinRh (cm3 x10-3)
2.000000000000000000e+00	1.941345940476498111e+00	5.044362307020972165e-03	1.968368189830312365e-01	1.102636250519999805e+00
4.000000000000000000e+00	1.463905968931505708e+00	1.558966238625030280e-03	1.634233885065025094e-01	1.230963439164999951e+00
1.000000000000000000e+01	1.304044652292631445e+00	3.420493060080440225e-04	1.444028638550834409e-01	1.256616799395000150e+00
1.500000000000000000e+01	1.279596736514556632e+00	4.445003465992633583e-04	1.419572151721422981e-01	1.268001013490000162e+00
2.000000000000000000e+01	1.279941452143130265e+00	1.453274615657833963e-04	1.424989902035767309e-01	1.277766058845000163e+00
3.000000000000000000e+01	1.293206785672602388e+00	2.617952707699478009e-04	1.438347039496923330e-01	1.290552932420000021e+00
4.000000000000000000e+01	1.304839558923112985e+00	2.251989118461304165e-04	1.450981658263682528e-01	1.302359708915000081e+00
5.000000000000000000e+01	1.310480144466446450e+00	4.056798361500841112e-04	1.457020739905502682e-01	1.308333435375000020e+00
6.000000000000000000e+01	1.312383586115604572e+00	3.577643543409958883e-04	1.457335822822914406e-01	1.309444423354999998e+00
7.000000000000000000e+01	1.309359173823640532e+00	4.478219670137685332e-04	1.452420869963982619e-01	1.307590637919999965e+00
8.000000000000000000e+01	1.304691030697841203e+00	4.435977611669395383e-04	1.444623970395674528e-01	1.302791955490000042e+00
9.000000000000000000e+01	1.297958014649415404e+00	5.034105876339362278e-04	1.436101473146679797e-01	1.294302063795000013e+00
1.000000000000000000e+02	1.288352658700288478e+00	4.535405267631616795e-04	1.424592077166167980e-01	1.288196006349999978e+00
1.100000000000000000e+02	1.277446986119667560e+00	3.538345376471655856e-04	1.410561768098105018e-01	1.275121429089999925e+00
1.200000000000000000e+02	1.265224574706551808e+00	2.782188637818219464e-04	1.396344354809432031e-01	1.266986235755000134e+00
1.300000000000000000e+02	1.252213292622899488e+00	2.592239017371332542e-04	1.381340987420599520e-01	1.250499352339999870e+00
1.400000000000000000e+02	1.238597252625155853e+00	3.023267333455054748e-04	1.365021045425357793e-01	1.236563821414999875e+00
1.500000000000000000e+02	1.223604634027627203e+00	2.491543736148416673e-04	1.347836043462877498e-01	1.221154849659999986e+00
1.600000000000000000e+02	1.208870524672656321e+00	2.747052776072919514e-04	1.329917213960942757e-01	1.206733396975000039e+00
1.700000000000000000e+02	1.193434397848367468e+00	2.400273050890021820e-04	1.312177206300490229e-01	1.191538368300000039e+00
1.800000000000000000e+02	1.179281426627312390e+00	2.334339535043923716e-04	1.296654030290584625e-01	1.178659738399999934e+00
1.900000000000000000e+02	1.163700080919515045e+00	2.070160623704320321e-04	1.278234002123312396e-01	1.162363652719999862e+00
2.000000000000000000e+02	1.149803555947711775e+00	1.895852590343626259e-04	1.262520044399114416e-01	1.148137553239999997e+00
2.100000000000000000e+02	1.135790079894924309e+00	1.987768516791896115e-04	1.245555743744881094e-01	1.135953588571499973e+00
2.200000000000000000e+02	1.123877187285412083e+00	5.940310496470199665e-04	1.233708143493769810e-01	1.128295179634499990e+00
2.300000000000000000e+02	1.111625909508723531e+00	3.693916341959856044e-04	1.211835970611477714e-01	1.101568474912500095e+00
2.400000000000000000e+02	1.090956284752346628e+00	4.234580229617919021e-04	1.193476210033367901e-01	1.087602529602500034e+00
2.500000000000000000e+02	1.076615109086439315e+00	5.617702884832551438e-04	1.177915496416312297e-01	1.076385493841500063e+00
2.600000000000000000e+02	1.067575967036281437e+00	2.932882286968282407e-04	1.166925971904484438e-01	1.068342643614500043e+00
2.700000000000000000e+02	1.052895517032693018e+00	1.780029366920490332e-04	1.150853068760444992e-01	1.052544215439000119e+00
2.800000000000000000e+02	1.039256829062011667e+00	2.151003676527512578e-04	1.134798316027320342e-01	1.037791439160999918e+00
2.900000000000000000e+02	1.031293475661125614e+00	2.596178426193209614e-04	1.127686424598026288e-01	1.034870507147000129e+00
3.000000000000000000e+02	1.015456611449649937e+00	2.646448370824931338e-04	1.110003767382722745e-01	1.012976609048499954e+00
