file FFTd=BaFe2P2_AngleSweep_40.dat
Selected B range, Bmin=6.040 T Bmax=7.000 T
Subtracted Poly order =5
Padding =8
F[T]	Amp
 2.98158911387125E+0002	 1.49610203137071E-0005
 3.02609044392903E+0002	 5.42105544632142E-0006
 3.07059177398681E+0002	 1.95879759170649E-0006
 3.11509310404459E+0002	 6.57012682791265E-0006
 3.15959443410237E+0002	 9.01714111771122E-0006
 3.20409576416015E+0002	 9.41737711325000E-0006
 3.24859709421793E+0002	 8.14111231288918E-0006
 3.29309842427571E+0002	 6.02670432749339E-0006
 3.33759975433349E+0002	 5.59471452287885E-0006
 3.38210108439127E+0002	 9.11340501653611E-0006
 3.42660241444905E+0002	 1.46221505379074E-0005
 3.47110374450683E+0002	 2.07497411203760E-0005
 3.51560507456461E+0002	 2.68990555969107E-0005
 3.56010640462239E+0002	 3.26966733209738E-0005
 3.60460773468017E+0002	 3.78873885559260E-0005
 3.64910906473795E+0002	 4.23255860668358E-0005
 3.69361039479573E+0002	 4.59879755471125E-0005
 3.73811172485351E+0002	 4.89895950220299E-0005
 3.78261305491129E+0002	 5.15924157472921E-0005
 3.82711438496907E+0002	 5.41923436529964E-0005
 3.87161571502685E+0002	 5.72671713394379E-0005
 3.91611704508463E+0002	 6.12784817882665E-0005
 3.96061837514241E+0002	 6.65527214558126E-0005
 4.00511970520019E+0002	 7.31969353099628E-0005
 4.04962103525797E+0002	 8.10898602762953E-0005
 4.09412236531575E+0002	 8.99367204901398E-0005
 4.13862369537353E+0002	 9.93445717442164E-0005
 4.18312502543131E+0002	 1.08885686757377E-0004
 4.22762635548909E+0002	 1.18140039381903E-0004
 4.27212768554687E+0002	 1.26721000137419E-0004
 4.31662901560465E+0002	 1.34290602690949E-0004
 4.36113034566243E+0002	 1.40568886489783E-0004
 4.40563167572021E+0002	 1.45339754061517E-0004
 4.45013300577799E+0002	 1.48454489631339E-0004
 4.49463433583577E+0002	 1.49833458311069E-0004
 4.53913566589355E+0002	 1.49466265937394E-0004
 4.58363699595133E+0002	 1.47410612391999E-0004
 4.62813832600911E+0002	 1.43790106708384E-0004
 4.67263965606689E+0002	 1.38791369387125E-0004
 4.71714098612467E+0002	 1.32660774728349E-0004
 4.76164231618245E+0002	 1.25701103227340E-0004
 4.80614364624023E+0002	 1.18268024030763E-0004
 4.85064497629801E+0002	 1.10765429057299E-0004
 4.89514630635579E+0002	 1.03636828429256E-0004
 4.93964763641357E+0002	 9.73472503139770E-0005
 4.98414896647135E+0002	 9.23478861626327E-0005
 5.02865029652913E+0002	 8.90187946384986E-0005
 5.07315162658691E+0002	 8.75991314487317E-0005
 5.11765295664469E+0002	 8.81350515541052E-0005
 5.16215428670247E+0002	 9.04792124180045E-0005
 5.20665561676025E+0002	 9.43462361759649E-0005
 5.25115694681803E+0002	 9.93915866704248E-0005
 5.29565827687581E+0002	 1.05275508962166E-0004
 5.34015960693359E+0002	 1.11695819977796E-0004
 5.38466093699137E+0002	 1.18394576998356E-0004
 5.42916226704915E+0002	 1.25150802356658E-0004
 5.47366359710693E+0002	 1.31769306393433E-0004
 5.51816492716471E+0002	 1.38071333571979E-0004
 5.56266625722249E+0002	 1.43889381622934E-0004
 5.60716758728027E+0002	 1.49066524017522E-0004
 5.65166891733805E+0002	 1.53459525454317E-0004
 5.69617024739583E+0002	 1.56944597822490E-0004
 5.74067157745361E+0002	 1.59424550811140E-0004
 5.78517290751139E+0002	 1.60836191920991E-0004
 5.82967423756917E+0002	 1.61157023273080E-0004
 5.87417556762695E+0002	 1.60410496745522E-0004
 5.91867689768473E+0002	 1.58669274147502E-0004
 5.96317822774251E+0002	 1.56056058398092E-0004
 6.00767955780029E+0002	 1.52741589879653E-0004
 6.05218088785807E+0002	 1.48939334044177E-0004
 6.09668221791585E+0002	 1.44896260921628E-0004
 6.14118354797363E+0002	 1.40879059104174E-0004
 6.18568487803141E+0002	 1.37155382516249E-0004
 6.23018620808919E+0002	 1.33970623853993E-0004
 6.27468753814697E+0002	 1.31522418669183E-0004
 6.31918886820475E+0002	 1.29937210220327E-0004
 6.36369019826253E+0002	 1.29254527171220E-0004
 6.40819152832031E+0002	 1.29423675747546E-0004
 6.45269285837809E+0002	 1.30314018542587E-0004
 6.49719418843587E+0002	 1.31735598983084E-0004
 6.54169551849365E+0002	 1.33464125813416E-0004
 6.58619684855143E+0002	 1.35264496194749E-0004
 6.63069817860921E+0002	 1.36909273197307E-0004
 6.67519950866699E+0002	 1.38191115238557E-0004
 6.71970083872477E+0002	 1.38929903184665E-0004
 6.76420216878255E+0002	 1.38976001651662E-0004
 6.80870349884033E+0002	 1.38211054683279E-0004
 6.85320482889811E+0002	 1.36547363604898E-0004
 6.89770615895589E+0002	 1.33926501682293E-0004
 6.94220748901367E+0002	 1.30317511330135E-0004
 6.98670881907144E+0002	 1.25714835612831E-0004
 7.03121014912923E+0002	 1.20136044792806E-0004
 7.07571147918700E+0002	 1.13619407514273E-0004
 7.12021280924478E+0002	 1.06221406257518E-0004
 7.16471413930257E+0002	 9.80144044798259E-0005
 7.20921546936034E+0002	 8.90848658188753E-0005
 7.25371679941812E+0002	 7.95329022508961E-0005
 7.29821812947591E+0002	 6.94747761413322E-0005
 7.34271945953368E+0002	 5.90521655264656E-0005
 7.38722078959146E+0002	 4.84583569909292E-0005
 7.43172211964924E+0002	 3.80122950729116E-0005
 7.47622344970702E+0002	 2.83842671119450E-0005
 7.52072477976480E+0002	 2.12648718504616E-0005
 7.56522610982258E+0002	 2.00022688933943E-0005
 7.60972743988036E+0002	 2.56729088775574E-0005
 7.65422876993814E+0002	 3.51197849028278E-0005
 7.69873009999592E+0002	 4.60609774901279E-0005
 7.74323143005370E+0002	 5.75884027365459E-0005
 7.78773276011148E+0002	 6.93093269733990E-0005
 7.83223409016926E+0002	 8.10045331759660E-0005
 7.87673542022704E+0002	 9.25148006994008E-0005
 7.92123675028482E+0002	 1.03698934802261E-0004
 7.96573808034260E+0002	 1.14416603560108E-0004
 8.01023941040038E+0002	 1.24521502426353E-0004
 8.05474074045816E+0002	 1.33859835529957E-0004
 8.09924207051594E+0002	 1.42272129834121E-0004
 8.14374340057372E+0002	 1.49597423636274E-0004
 8.18824473063150E+0002	 1.55679214321201E-0004
 8.23274606068928E+0002	 1.60372651003824E-0004
 8.27724739074706E+0002	 1.63552478075962E-0004
 8.32174872080484E+0002	 1.65121240731571E-0004
 8.36625005086262E+0002	 1.65017280098389E-0004
 8.41075138092040E+0002	 1.63222083628422E-0004
 8.45525271097818E+0002	 1.59766617131697E-0004
 8.49975404103596E+0002	 1.54736343081275E-0004
 8.54425537109374E+0002	 1.48274712282994E-0004
 8.58875670115152E+0002	 1.40584974764557E-0004
 8.63325803120930E+0002	 1.31930133869321E-0004
 8.67775936126708E+0002	 1.22630653420083E-0004
 8.72226069132486E+0002	 1.13058922653806E-0004
 8.76676202138264E+0002	 1.03628207883755E-0004
 8.81126335144042E+0002	 9.47717309746812E-0005
 8.85576468149820E+0002	 8.69054234163397E-0005
 8.90026601155598E+0002	 8.03691706323097E-0005
 8.94476734161376E+0002	 7.53520936964570E-0005
 8.98926867167154E+0002	 7.18288416600997E-0005
 9.03377000172932E+0002	 6.95479916778059E-0005
 9.07827133178710E+0002	 6.80926999898180E-0005
 9.12277266184488E+0002	 6.69867973504947E-0005
 9.16727399190266E+0002	 6.57959886306557E-0005
 9.21177532196044E+0002	 6.41928879237483E-0005
 9.25627665201822E+0002	 6.19851035023080E-0005
 9.30077798207600E+0002	 5.91201915525312E-0005
 9.34527931213378E+0002	 5.56806384350428E-0005
 9.38978064219156E+0002	 5.18758226819851E-0005
 9.43428197224934E+0002	 4.80304644833311E-0005
 9.47878330230712E+0002	 4.45592452728802E-0005
 9.52328463236490E+0002	 4.19054103438242E-0005
 9.56778596242268E+0002	 4.04230230567570E-0005
 9.61228729248046E+0002	 4.02307776657430E-0005
 9.65678862253824E+0002	 4.11379484867036E-0005
 9.70128995259602E+0002	 4.27148503496456E-0005
 9.74579128265380E+0002	 4.44449862931708E-0005
 9.79029261271158E+0002	 4.58481228682719E-0005
 9.83479394276936E+0002	 4.65364183628170E-0005
 9.87929527282714E+0002	 4.62251833622973E-0005
 9.92379660288492E+0002	 4.47252592591442E-0005
 9.96829793294270E+0002	 4.19311098141358E-0005
 1.00127992630004E+0003	 3.78093494539070E-0005
 1.00573005930582E+0003	 3.23885347160996E-0005
 1.01018019231160E+0003	 2.57500092375990E-0005
 1.01463032531738E+0003	 1.80198756125010E-0005
 1.01908045832316E+0003	 9.36615419561994E-0006
 1.02353059132893E+0003	 8.16511253445052E-0007
 1.02798072433472E+0003	 1.00853776702580E-0005
 1.03243085734049E+0003	 2.03618444502644E-0005
 1.03688099034627E+0003	 3.07596662084255E-0005
 1.04133112335205E+0003	 4.10550395221488E-0005
 1.04578125635783E+0003	 5.10397938411671E-0005
 1.05023138936361E+0003	 6.05208161696176E-0005
 1.05468152236938E+0003	 6.93231847607998E-0005
 1.05913165537516E+0003	 7.72928806694469E-0005
 1.06358178838094E+0003	 8.42986339625554E-0005
