file FFTd=BaFe2P2_AngleSweep_40.dat
Selected B range, Bmin=6.040 T Bmax=8.000 T
Subtracted Poly order =5
Padding =8
F[T]	Amp
 2.96433349609375E+0002	 9.81092756370788E-0005
 2.98924386160714E+0002	 9.73676210566082E-0005
 3.01415422712053E+0002	 9.67472364687551E-0005
 3.03906459263393E+0002	 9.61563767134604E-0005
 3.06397495814732E+0002	 9.55132929590772E-0005
 3.08888532366071E+0002	 9.47542140345864E-0005
 3.11379568917411E+0002	 9.38387911348115E-0005
 3.13870605468750E+0002	 9.27527337249572E-0005
 3.16361642020089E+0002	 9.15077104741442E-0005
 3.18852678571428E+0002	 9.01388026692083E-0005
 3.21343715122768E+0002	 8.86999013930753E-0005
 3.23834751674107E+0002	 8.72574750187059E-0005
 3.26325788225446E+0002	 8.58831455417143E-0005
 3.28816824776786E+0002	 8.46455441923433E-0005
 3.31307861328125E+0002	 8.36019998440066E-0005
 3.33798897879464E+0002	 8.27907476633208E-0005
 3.36289934430803E+0002	 8.22244793938197E-0005
 3.38780970982143E+0002	 8.18860951297259E-0005
 3.41272007533482E+0002	 8.17273674836364E-0005
 3.43763044084821E+0002	 8.16708745757157E-0005
 3.46254080636161E+0002	 8.16150879521855E-0005
 3.48745117187500E+0002	 8.14420686402443E-0005
 3.51236153738839E+0002	 8.10269531145599E-0005
 3.53727190290178E+0002	 8.02483322200908E-0005
 3.56218226841518E+0002	 7.89986884164208E-0005
 3.58709263392857E+0002	 7.71941825271814E-0005
 3.61200299944196E+0002	 7.47832164370568E-0005
 3.63691336495536E+0002	 7.17533262978708E-0005
 3.66182373046875E+0002	 6.81360888098493E-0005
 3.68673409598214E+0002	 6.40098582315953E-0005
 3.71164446149553E+0002	 5.95002764259620E-0005
 3.73655482700893E+0002	 5.47785377994123E-0005
 3.76146519252232E+0002	 5.00571633868319E-0005
 3.78637555803571E+0002	 4.55822120486548E-0005
 3.81128592354911E+0002	 4.16191115162441E-0005
 3.83619628906250E+0002	 3.84272596902003E-0005
