Data recorded as Sample1: B00KOD1A_MR_AB_
Osc Amp:  1.10000000000000E+0000	Osc Freq:  3.36600000000000E+0001	Phase:  0.00000000000000E+0000	Time Constant: 9	Conductance Ratio:  1.00000000000000E-0003	Current:  1.10000000000000E-0003
Time(s)	HeLevel(mm)	VTIRes(Ohms)	VTITemp(K)	ProbeRes(Ohms)	ProbeTemp(K)	X(V)	Y(V)	Resistance(Ohms)	Field(T)	Angle(°)
 2.68525469019107E-0001	 5.46665625000000E+0002	 3.25352000000000E+0002	 1.75040000000000E+0001	 4.95591000000000E+0002	 2.49960000000000E+0001	 6.48502000000000E-0003	-3.62399000000000E-0005	 5.89547272727273E+0000	-1.29890900000000E+0001	-4.29000000000000E+0001
 1.94835321248930E+0000	 5.46612500000000E+0002	 3.25462000000000E+0002	 1.74970000000000E+0001	 4.95593000000000E+0002	 2.49950000000000E+0001	 6.48502000000000E-0003	-3.81472000000000E-0005	 5.89547272727273E+0000	-1.29495600000000E+0001	-4.29000000000000E+0001
 3.62134992017142E+0000	 5.46718750000000E+0002	 3.25493000000000E+0002	 1.74940000000000E+0001	 4.95555000000000E+0002	 2.49970000000000E+0001	 6.48502000000000E-0003	-3.81472000000000E-0005	 5.89547272727273E+0000	-1.29096700000000E+0001	-4.29000000000000E+0001
 5.31190723960727E+0000	 5.46718750000000E+0002	 3.25404000000000E+0002	 1.75010000000000E+0001	 4.95505000000000E+0002	 2.50010000000000E+0001	 6.48502000000000E-0003	-3.81472000000000E-0005	 5.89547272727273E+0000	-1.28705200000000E+0001	-4.29000000000000E+0001
 6.98197117231380E+0000	 5.46665625000000E+0002	 3.25300000000000E+0002	 1.75080000000000E+0001	 4.95362000000000E+0002	 2.50090000000000E+0001	 6.48692000000000E-0003	-3.62399000000000E-0005	 5.89720000000000E+0000	-1.28310000000000E+0001	-4.29000000000000E+0001
 8.65886586144328E+0000	 5.46771875000000E+0002	 3.25304000000000E+0002	 1.75080000000000E+0001	 4.95440000000000E+0002	 2.50030000000000E+0001	 6.48502000000000E-0003	-3.81472000000000E-0005	 5.89547272727273E+0000	-1.27914800000000E+0001	-4.29000000000000E+0001
 1.03396660748782E+0001	 5.46240625000000E+0002	 3.25418000000000E+0002	 1.75000000000000E+0001	 4.95499000000000E+0002	 2.50010000000000E+0001	 6.48502000000000E-0003	-3.81472000000000E-0005	 5.89547272727273E+0000	-1.27523400000000E+0001	-4.29000000000000E+0001
 1.19989727744727E+0001	 5.46400000000000E+0002	 3.25492000000000E+0002	 1.74940000000000E+0001	 4.95737000000000E+0002	 2.49870000000000E+0001	 6.48502000000000E-0003	-3.81472000000000E-0005	 5.89547272727273E+0000	-1.27128200000000E+0001	-4.29000000000000E+0001
 1.36709849994901E+0001	 5.46240625000000E+0002	 3.25361000000000E+0002	 1.75030000000000E+0001	 4.95483000000000E+0002	 2.50020000000000E+0001	 6.48502000000000E-0003	-3.62399000000000E-0005	 5.89547272727273E+0000	-1.26740500000000E+0001	-4.29000000000000E+0001
 1.53303132101985E+0001	 5.46134375000000E+0002	 3.25465000000000E+0002	 1.74960000000000E+0001	 4.95562000000000E+0002	 2.49970000000000E+0001	 6.48502000000000E-0003	-3.81472000000000E-0005	 5.89547272727273E+0000	-1.26345300000000E+0001	-4.29000000000000E+0001
 1.69984098537663E+0001	 5.46453125000000E+0002	 3.25260000000000E+0002	 1.75120000000000E+0001	 4.95444000000000E+0002	 2.50040000000000E+0001	 6.48692000000000E-0003	-3.62399000000000E-0005	 5.89720000000000E+0000	-1.25953800000000E+0001	-4.29000000000000E+0001
 1.86752986762284E+0001	 5.46400000000000E+0002	 3.25230000000000E+0002	 1.75120000000000E+0001	 4.95411000000000E+0002	 2.50060000000000E+0001	 6.48502000000000E-0003	-3.81472000000000E-0005	 5.89547272727273E+0000	-1.25558600000000E+0001	-4.29000000000000E+0001
 2.03473139742621E+0001	 5.46293750000000E+0002	 3.25455000000000E+0002	 1.74970000000000E+0001	 4.95574000000000E+0002	 2.49970000000000E+0001	 6.48502000000000E-0003	-3.62399000000000E-0005	 5.89547272727273E+0000	-1.25167200000000E+0001	-4.29000000000000E+0001
 2.20183540086799E+0001	 5.46187500000000E+0002	 3.25203000000000E+0002	 1.75130000000000E+0001	 4.95692000000000E+0002	 2.49910000000000E+0001	 6.48502000000000E-0003	-3.62399000000000E-0005	 5.89547272727273E+0000	-1.24772000000000E+0001	-4.29000000000000E+0001
