Data recorded as Sample1: B00KOD1A_MR_AB_
Osc Amp:  1.10000000000000E+0000	Osc Freq:  3.36600000000000E+0001	Phase:  0.00000000000000E+0000	Time Constant: 9	Conductance Ratio:  1.00000000000000E-0003	Current:  1.10000000000000E-0003
Time(s)	HeLevel(mm)	VTIRes(Ohms)	VTITemp(K)	ProbeRes(Ohms)	ProbeTemp(K)	X(V)	Y(V)	Resistance(Ohms)	Field(T)	Angle(°)
 2.68526586479567E-0001	 5.51871875000000E+0002	 3.25438000000000E+0002	 1.74980000000000E+0001	 4.95466000000000E+0002	 2.50030000000000E+0001	 6.48311000000000E-0003	-3.62399000000000E-0005	 5.89373636363636E+0000	 1.29890900000000E+0001	-4.29000000000000E+0001
 1.95617208332344E+0000	 5.51818750000000E+0002	 3.25273000000000E+0002	 1.75100000000000E+0001	 4.95447000000000E+0002	 2.50040000000000E+0001	 6.48502000000000E-0003	-3.62399000000000E-0005	 5.89547272727273E+0000	 1.29495700000000E+0001	-4.29000000000000E+0001
 3.63307599150171E+0000	 5.51925000000000E+0002	 3.25422000000000E+0002	 1.75000000000000E+0001	 4.95379000000000E+0002	 2.50070000000000E+0001	 6.48311000000000E-0003	-3.81472000000000E-0005	 5.89373636363636E+0000	 1.29100400000000E+0001	-4.29000000000000E+0001
 5.30898508050604E+0000	 5.52084375000000E+0002	 3.25326000000000E+0002	 1.75060000000000E+0001	 4.95530000000000E+0002	 2.49990000000000E+0001	 6.48311000000000E-0003	-3.81472000000000E-0005	 5.89373636363636E+0000	 1.28705200000000E+0001	-4.29000000000000E+0001
 6.98392114081538E+0000	 5.51871875000000E+0002	 3.25538000000000E+0002	 1.74910000000000E+0001	 4.95541000000000E+0002	 2.49980000000000E+0001	 6.48311000000000E-0003	-3.81472000000000E-0005	 5.89373636363636E+0000	 1.28313800000000E+0001	-4.29000000000000E+0001
 8.65984615363126E+0000	 5.51871875000000E+0002	 3.25447000000000E+0002	 1.74980000000000E+0001	 4.95483000000000E+0002	 2.49990000000000E+0001	 6.48311000000000E-0003	-3.81472000000000E-0005	 5.89373636363636E+0000	 1.27918600000000E+0001	-4.29000000000000E+0001
 1.03328266581367E+0001	 5.51925000000000E+0002	 3.25395000000000E+0002	 1.75010000000000E+0001	 4.95641000000000E+0002	 2.49930000000000E+0001	 6.48311000000000E-0003	-3.81472000000000E-0005	 5.89373636363636E+0000	 1.27523400000000E+0001	-4.29000000000000E+0001
 1.20067980707045E+0001	 5.51818750000000E+0002	 3.25427000000000E+0002	 1.74990000000000E+0001	 4.95581000000000E+0002	 2.49960000000000E+0001	 6.48502000000000E-0003	-3.62399000000000E-0005	 5.89547272727273E+0000	 1.27128200000000E+0001	-4.29000000000000E+0001
 1.36836888487223E+0001	 5.51871875000000E+0002	 3.25497000000000E+0002	 1.74950000000000E+0001	 4.95554000000000E+0002	 2.49980000000000E+0001	 6.48311000000000E-0003	-3.62399000000000E-0005	 5.89373636363636E+0000	 1.26736700000000E+0001	-4.29000000000000E+0001
 1.53576563501785E+0001	 5.51925000000000E+0002	 3.25430000000000E+0002	 1.74990000000000E+0001	 4.95527000000000E+0002	 2.49990000000000E+0001	 6.48311000000000E-0003	-3.81472000000000E-0005	 5.89373636363636E+0000	 1.26337800000000E+0001	-4.29000000000000E+0001
