Data recorded as Sample1: B00KOD1A_MR_AB_
Osc Amp:  1.10000000000000E+0000	Osc Freq:  3.36600000000000E+0001	Phase:  0.00000000000000E+0000	Time Constant: 9	Conductance Ratio:  1.00000000000000E-0003	Current:  1.10000000000000E-0003
Time(s)	HeLevel(mm)	VTIRes(Ohms)	VTITemp(K)	ProbeRes(Ohms)	ProbeTemp(K)	X(V)	Y(V)	Resistance(Ohms)	Field(T)	Angle(°)
 4.21557672832720E+0001	 5.71612903225806E+0002	 3.18461000000000E+0002	 1.80800000000000E+0001	 4.95782000000000E+0002	 2.49860000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 9.96300000000000E-0001	-4.29000000000000E+0001
 4.38287528163496E+0001	 5.71806451612903E+0002	 3.18245000000000E+0002	 1.80980000000000E+0001	 4.95711000000000E+0002	 2.49890000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.03582000000000E+0000	-4.29000000000000E+0001
 4.55066261214763E+0001	 5.71709677419355E+0002	 3.18364000000000E+0002	 1.80880000000000E+0001	 4.95493000000000E+0002	 2.50010000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.07534000000000E+0000	-4.29000000000000E+0001
 4.71786313623659E+0001	 5.71709677419355E+0002	 3.18455000000000E+0002	 1.80810000000000E+0001	 4.95632000000000E+0002	 2.49930000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.11486000000000E+0000	-4.29000000000000E+0001
 4.88545493910539E+0001	 5.71661290322581E+0002	 3.18550000000000E+0002	 1.80720000000000E+0001	 4.95443000000000E+0002	 2.50040000000000E+0001	 6.48120000000000E-0003	-3.62399000000000E-0005	 5.89200000000000E+0000	 1.15401000000000E+0000	-4.29000000000000E+0001
 5.05236567776072E+0001	 5.71709677419355E+0002	 3.18546000000000E+0002	 1.80730000000000E+0001	 4.95469000000000E+0002	 2.50030000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.19315000000000E+0000	-4.29000000000000E+0001
 5.21927172308212E+0001	 5.71903225806452E+0002	 3.18341000000000E+0002	 1.80900000000000E+0001	 4.95517000000000E+0002	 2.50000000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.23229000000000E+0000	-4.29000000000000E+0001
 5.38588619503317E+0001	 5.71854838709677E+0002	 3.18258000000000E+0002	 1.80970000000000E+0001	 4.95296000000000E+0002	 2.50130000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.27144000000000E+0000	-4.29000000000000E+0001
 5.55182099959632E+0001	 5.72000000000000E+0002	 3.18275000000000E+0002	 1.80950000000000E+0001	 4.95474000000000E+0002	 2.50030000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.31096000000000E+0000	-4.29000000000000E+0001
 5.71960520121971E+0001	 5.71854838709677E+0002	 3.18314000000000E+0002	 1.80920000000000E+0001	 4.95474000000000E+0002	 2.50020000000000E+0001	 6.48120000000000E-0003	-3.62399000000000E-0005	 5.89200000000000E+0000	 1.35048000000000E+0000	-4.29000000000000E+0001
 5.88749022571304E+0001	 5.71661290322581E+0002	 3.18296000000000E+0002	 1.80940000000000E+0001	 4.95531000000000E+0002	 2.49990000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.38963000000000E+0000	-4.29000000000000E+0001
 6.05459428502785E+0001	 5.71709677419355E+0002	 3.18389000000000E+0002	 1.80860000000000E+0001	 4.95678000000000E+0002	 2.49910000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.42915000000000E+0000	-4.29000000000000E+0001
 6.22316149119511E+0001	 5.71854838709677E+0002	 3.18455000000000E+0002	 1.80800000000000E+0001	 4.95724000000000E+0002	 2.49880000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.46867000000000E+0000	-4.29000000000000E+0001
 6.38997224507584E+0001	 5.71854838709677E+0002	 3.18490000000000E+0002	 1.80770000000000E+0001	 4.95386000000000E+0002	 2.50070000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.50781000000000E+0000	-4.29000000000000E+0001
