Data recorded as Sample1: B00KOD1A_MR_AB_
Osc Amp:  1.10000000000000E+0000	Osc Freq:  3.36600000000000E+0001	Phase:  0.00000000000000E+0000	Time Constant: 9	Conductance Ratio:  1.00000000000000E-0003	Current:  1.10000000000000E-0003
Time(s)	HeLevel(mm)	VTIRes(Ohms)	VTITemp(K)	ProbeRes(Ohms)	ProbeTemp(K)	X(V)	Y(V)	Resistance(Ohms)	Field(T)	Angle(°)
 2.68545303942261E-0001	 5.53837500000000E+0002	 3.18132000000000E+0002	 1.81080000000000E+0001	 4.95662000000000E+0002	 2.49910000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	-1.12900000000000E-0002	-4.29000000000000E+0001
 1.96986544379244E+0000	 5.53996875000000E+0002	 3.18122000000000E+0002	 1.81080000000000E+0001	 4.95357000000000E+0002	 2.50090000000000E+0001	 6.48120000000000E-0003	-3.62399000000000E-0005	 5.89200000000000E+0000	-5.15700000000000E-0002	-4.29000000000000E+0001
 3.65555482610220E+0000	 5.53943750000000E+0002	 3.18316000000000E+0002	 1.80920000000000E+0001	 4.95515000000000E+0002	 2.50000000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	-9.07100000000000E-0002	-4.29000000000000E+0001
 5.33634665858370E+0000	 5.53943750000000E+0002	 3.18225000000000E+0002	 1.80990000000000E+0001	 4.95606000000000E+0002	 2.49940000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	-1.30230000000000E-0001	-4.29000000000000E+0001
 7.01714687201865E+0000	 5.53731250000000E+0002	 3.18343000000000E+0002	 1.80900000000000E+0001	 4.95681000000000E+0002	 2.49900000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	-1.69750000000000E-0001	-4.29000000000000E+0001
 8.68623749666508E+0000	 5.53890625000000E+0002	 3.18189000000000E+0002	 1.81030000000000E+0001	 4.95447000000000E+0002	 2.50040000000000E+0001	 6.48120000000000E-0003	-3.62399000000000E-0005	 5.89200000000000E+0000	-2.08900000000000E-0001	-4.29000000000000E+0001
 1.03640976716314E+0001	 5.53943750000000E+0002	 3.18236000000000E+0002	 1.80970000000000E+0001	 4.95281000000000E+0002	 2.50150000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	-2.48420000000000E-0001	-4.29000000000000E+0001
 1.20380662905481E+0001	 5.53731250000000E+0002	 3.18191000000000E+0002	 1.81030000000000E+0001	 4.95258000000000E+0002	 2.50150000000000E+0001	 6.48120000000000E-0003	-3.62399000000000E-0005	 5.89200000000000E+0000	-2.87940000000000E-0001	-4.29000000000000E+0001
 1.37139837605058E+0001	 5.53890625000000E+0002	 3.18050000000000E+0002	 1.81140000000000E+0001	 4.95499000000000E+0002	 2.50010000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	-3.27460000000000E-0001	-4.29000000000000E+0001
 1.54016208763963E+0001	 5.53890625000000E+0002	 3.17992000000000E+0002	 1.81190000000000E+0001	 4.95656000000000E+0002	 2.49920000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	-3.67360000000000E-0001	-4.29000000000000E+0001
 1.70814435912944E+0001	 5.53943750000000E+0002	 3.18259000000000E+0002	 1.80960000000000E+0001	 4.95509000000000E+0002	 2.50000000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	-4.06880000000000E-0001	-4.29000000000000E+0001
