Field	T\dRuOx\n	T\dCernox\n	T\dRuOx\n Corrected	T\dCernox\n Corrected
1.802250000000000100e+01	8.349999999999999600e-01	1.135599999999999900e+00	9.433647394180297900e-01	9.352583885192871100e-01
1.802250000000000100e+01	8.352000000000000500e-01	1.135699999999999900e+00	9.436173439025878900e-01	9.352853298187255900e-01
1.802250000000000100e+01	8.350999999999999500e-01	1.135699999999999900e+00	9.435184001922607400e-01	9.352853298187255900e-01
1.802250000000000100e+01	8.356000000000000100e-01	1.135699999999999900e+00	9.441074132919311500e-01	9.352853298187255900e-01
1.802250000000000100e+01	8.345000000000000200e-01	1.135699999999999900e+00	9.427479505538940400e-01	9.352853298187255900e-01
1.802250000000000100e+01	8.347999999999999900e-01	1.135699999999999900e+00	9.431499242782592800e-01	9.352853298187255900e-01
1.802250000000000100e+01	8.343000000000000400e-01	1.135699999999999900e+00	9.425228834152221700e-01	9.352853298187255900e-01
1.802250000000000100e+01	8.345000000000000200e-01	1.135699999999999900e+00	9.427479505538940400e-01	9.352853298187255900e-01
1.802250000000000100e+01	8.347999999999999900e-01	1.135799999999999900e+00	9.431499242782592800e-01	9.356107711791992200e-01
1.802250000000000100e+01	8.347000000000000000e-01	1.135699999999999900e+00	9.429714679718017600e-01	9.352853298187255900e-01
1.802250000000000100e+01	8.355000000000000200e-01	1.135699999999999900e+00	9.439930915832519500e-01	9.352853298187255900e-01
1.802250000000000100e+01	8.342000000000000500e-01	1.135699999999999900e+00	9.423874616622924800e-01	9.352853298187255900e-01
1.802250000000000100e+01	8.353000000000000400e-01	1.135799999999999900e+00	9.437479972839355500e-01	9.356107711791992200e-01
1.802250000000000100e+01	8.339999999999999600e-01	1.135899999999999900e+00	9.421423673629760700e-01	9.356629848480224600e-01
1.802250000000000100e+01	8.347000000000000000e-01	1.135799999999999900e+00	9.429714679718017600e-01	9.356107711791992200e-01
1.802250000000000100e+01	8.358999999999999800e-01	1.135799999999999900e+00	9.444811344146728500e-01	9.356107711791992200e-01
1.802250000000000100e+01	8.344000000000000300e-01	1.135799999999999900e+00	9.426079988479614300e-01	9.356107711791992200e-01
1.802250000000000100e+01	8.357999999999999900e-01	1.135799999999999900e+00	9.443179368972778300e-01	9.356107711791992200e-01
1.802250000000000100e+01	8.352000000000000500e-01	1.135799999999999900e+00	9.436173439025878900e-01	9.356107711791992200e-01
1.802250000000000100e+01	8.346000000000000100e-01	1.135799999999999900e+00	9.428877830505371100e-01	9.356107711791992200e-01
