T	B32KOP1 Rho_mr
7.049473547094189030e+01	3.067945310359146416e-01
7.109431863727455436e+01	3.079989314826227509e-01
7.169390180360721843e+01	3.092123186968156467e-01
7.229348496993988249e+01	3.104603503958492383e-01
7.289306813627254655e+01	3.116816802720600577e-01
7.349265130260521062e+01	3.131102857389426175e-01
7.409223446893787468e+01	3.143793949864035486e-01
7.469181763527055296e+01	3.157090499674719553e-01
7.529140080160321702e+01	3.169490988354949912e-01
7.589098396793588108e+01	3.181175596848957454e-01
7.649056713426854515e+01	3.193275856814690727e-01
7.709015030060120921e+01	3.205884614654710418e-01
7.768973346693387327e+01	3.218518797634436490e-01
7.828931663326653734e+01	3.230920288495496839e-01
7.888889979959920140e+01	3.243662640094511218e-01
7.948848296593186546e+01	3.257410383411454835e-01
8.008806613226452953e+01	3.270062847393148675e-01
8.068764929859720780e+01	3.282393156137596857e-01
8.128723246492987187e+01	3.295098246731391622e-01
8.188681563126253593e+01	3.307939364688552986e-01
8.248639879759519999e+01	3.320927811820680864e-01
8.308598196392786406e+01	3.333835823441260726e-01
8.368556513026052812e+01	3.346872981757692544e-01
8.428514829659319219e+01	3.360320573801079402e-01
8.488473146292585625e+01	3.374272764540172664e-01
8.548431462925852031e+01	3.386943951112224571e-01
8.608389779559119859e+01	3.399553756827445872e-01
8.668348096192386265e+01	3.412406753815031557e-01
8.728306412825652671e+01	3.425582789574481701e-01
8.788264729458919078e+01	3.438487305615815504e-01
8.848223046092185484e+01	3.452161558046072387e-01
8.908181362725451891e+01	3.465749450259440478e-01
8.968139679358718297e+01	3.479386833156644654e-01
9.028097995991984703e+01	3.492559203680343782e-01
9.088056312625251110e+01	3.505681939389028723e-01
9.148014629258517516e+01	3.518793036067878743e-01
9.207972945891785344e+01	3.532090035226843061e-01
9.267931262525051750e+01	3.545466537793062201e-01
9.327889579158318156e+01	3.558819272204317152e-01
9.387847895791584563e+01	3.572860807702716857e-01
9.447806212424850969e+01	3.586658954801169030e-01
9.507764529058117375e+01	3.600525865877991505e-01
9.567722845691383782e+01	3.613214209889351602e-01
9.627681162324650188e+01	3.626415745392949086e-01
9.687639478957916594e+01	3.640285761785145291e-01
9.747597795591183001e+01	3.653872804285716036e-01
9.807556112224449407e+01	3.667458451111562656e-01
9.867514428857717235e+01	3.680917808313702300e-01
9.927472745490983641e+01	3.694558003371770094e-01
9.987431062124250047e+01	3.708696188085758294e-01
1.004738937875751645e+02	3.721718948136565897e-01
1.010734769539078286e+02	3.734756081702249597e-01
1.016730601202404927e+02	3.747475222025999364e-01
1.022726432865731567e+02	3.760342728122846867e-01
1.028722264529058208e+02	3.773476481956665185e-01
1.034718096192384849e+02	3.787123050624028320e-01
1.040713927855711489e+02	3.800428947193683626e-01
1.046709759519038272e+02	3.814019428225988162e-01
1.052705591182364913e+02	3.827738933353656559e-01
1.058701422845691553e+02	3.841668416936941943e-01
1.064697254509018194e+02	3.855899353924046591e-01
1.070693086172344834e+02	3.870432084455397992e-01
1.076688917835671475e+02	3.885221363127115968e-01
1.082684749498998116e+02	3.899674601971773735e-01
1.088680581162324756e+02	3.914016935319983848e-01
1.094676412825651397e+02	3.928320432190344769e-01
1.100672244488978038e+02	3.943336035989553623e-01
1.106668076152304678e+02	3.956707100602583904e-01
1.112663907815631461e+02	3.970097000296461953e-01
1.118659739478958102e+02	3.982801766830529888e-01
1.124655571142284742e+02	3.995759680389922019e-01
1.130651402805611383e+02	4.009593364347125433e-01
1.136647234468938024e+02	4.023199933453206478e-01
1.142643066132264664e+02	4.037931676674804682e-01
1.148638897795591305e+02	4.052357380342694326e-01
1.154634729458917946e+02	4.065904586803527621e-01
1.160630561122244586e+02	4.079614030670634106e-01
1.166626392785571227e+02	4.093862488061620342e-01
1.172622224448897867e+02	4.109556391702712808e-01
1.178618056112224650e+02	4.124769966997032244e-01
1.184613887775551291e+02	4.138966467476735689e-01
1.190609719438877931e+02	4.153136535679404218e-01
1.196605551102204572e+02	4.168818371751244478e-01
1.202601382765531213e+02	4.185012887763198686e-01
1.208597214428857853e+02	4.200140792058559835e-01
1.214593046092184494e+02	4.214161904856851271e-01
1.220588877755511135e+02	4.227471741062875932e-01
1.226584709418837775e+02	4.245961231539731040e-01
1.232580541082164416e+02	4.263191440948038702e-01
1.238576372745491057e+02	4.281391635247888683e-01
1.244572204408817839e+02	4.297294780420655158e-01
1.250568036072144480e+02	4.312112762728567139e-01
1.256563867735471121e+02	4.326385814720233869e-01
1.262559699398797761e+02	4.341254660336615334e-01
1.268555531062124402e+02	4.356306439061046754e-01
1.274551362725451042e+02	4.371726618497052685e-01
1.280547194388777541e+02	4.387330145205745047e-01
1.286543026052104324e+02	4.402208306507141011e-01
1.292538857715430822e+02	4.416894407387366717e-01
1.298534689378757605e+02	4.431085125687922455e-01
1.304530521042084388e+02	4.445067825095714298e-01
1.310526352705410886e+02	4.458995291511717585e-01
1.316522184368737669e+02	4.472811811457979569e-01
1.322518016032064168e+02	4.487122058461011087e-01
1.328513847695390950e+02	4.501468008617293681e-01
1.334509679358717449e+02	4.518248279467916295e-01
1.340505511022044232e+02	4.531009525174742314e-01
1.346501342685370730e+02	4.545909674101692999e-01
1.352497174348697513e+02	4.561526672219589629e-01
1.358493006012024011e+02	4.575508348423024674e-01
1.364488837675350794e+02	4.588843251457729311e-01
1.370484669338677577e+02	4.604073564401712226e-01
1.376480501002004075e+02	4.619522765646083551e-01
1.382476332665330858e+02	4.635352764490753286e-01
1.388472164328657357e+02	4.648218953273690057e-01
1.394467995991984139e+02	4.664702617415396602e-01
1.400463827655310638e+02	4.680029680759688615e-01
1.406459659318637421e+02	4.694508103779038155e-01
1.412455490981963919e+02	4.706850276291937862e-01
1.418451322645290702e+02	4.720593725853424738e-01
1.424447154308617201e+02	4.734524601211754780e-01
1.430442985971943983e+02	4.748093906783738549e-01
1.436438817635270766e+02	4.762526335557852875e-01
1.442434649298597265e+02	4.776044250222812870e-01
1.448430480961924047e+02	4.789764779305210052e-01
1.454426312625250546e+02	4.806173264594952310e-01
1.460422144288577329e+02	4.819585143228679591e-01
1.466417975951903827e+02	4.832737427873424751e-01
1.472413807615230610e+02	4.848031907373486771e-01
1.478409639278557108e+02	4.861926070994612714e-01
1.484405470941883891e+02	4.876839885221473936e-01
1.490401302605210390e+02	4.892091419387524232e-01
1.496397134268537172e+02	4.906448326567700025e-01
1.502392965931863671e+02	4.921415622266084311e-01
1.508388797595190454e+02	4.934854645541748575e-01
1.514384629258516952e+02	4.948632221726157465e-01
1.520380460921843735e+02	4.962159518829958316e-01
1.526376292585170233e+02	4.976220320330406732e-01
1.532372124248497016e+02	4.990255069928605791e-01
1.538367955911823799e+02	5.004331546978836309e-01
1.544363787575150297e+02	5.018780204180690596e-01
1.550359619238477080e+02	5.032787678400529874e-01
1.556355450901803579e+02	5.047462198246096543e-01
1.562351282565130361e+02	5.062074269143232996e-01
1.568347114228456860e+02	5.076795110094051156e-01
1.574342945891783643e+02	5.091065020946548003e-01
1.580338777555110141e+02	5.106552342554253610e-01
1.586334609218436924e+02	5.119934245587902666e-01
1.592330440881763707e+02	5.134821726128340202e-01
1.598326272545090205e+02	5.149404166076335665e-01
1.604322104208416988e+02	5.163926739985199577e-01
1.610317935871743487e+02	5.177842076505964064e-01
1.616313767535070269e+02	5.191721560754625209e-01
1.622309599198396768e+02	5.205727087356228910e-01
1.628305430861723551e+02	5.219351961382191485e-01
1.634301262525050049e+02	5.234031356181131356e-01
1.640297094188376832e+02	5.246920952044176190e-01
1.646292925851703330e+02	5.263093058111473210e-01
1.652288757515030113e+02	5.276733745377448770e-01
1.658284589178356896e+02	5.290275955666425833e-01
1.664280420841683394e+02	5.304756431004029604e-01
1.670276252505010177e+02	5.317322379851345815e-01
1.676272084168336676e+02	5.332918438556322194e-01
1.682267915831663458e+02	5.348609347958479532e-01
1.688263747494989957e+02	5.361090191032181762e-01
1.694259579158316740e+02	5.375806542711085712e-01
1.700255410821643238e+02	5.392519990663287022e-01
1.706251242484970021e+02	5.403604249260691716e-01
1.712247074148296520e+02	5.417347331685724576e-01
