T	B16KOD1A Rho_mr
5.239361382765531516e+01	6.884955540213564262e-01
5.298715911823647673e+01	6.915719411218608226e-01
5.358070440881763830e+01	6.940851829889633784e-01
5.417424969939879986e+01	6.981290004451231601e-01
5.476779498997996143e+01	7.011828764472302078e-01
5.536134028056113010e+01	7.040671719103659409e-01
5.595488557114229167e+01	7.069024114703744699e-01
5.654843086172345323e+01	7.103472141991877820e-01
5.714197615230461480e+01	7.132513526296440087e-01
5.773552144288577637e+01	7.163105458796128477e-01
5.832906673346693793e+01	7.191612708139780707e-01
5.892261202404809950e+01	7.226310743720818497e-01
5.951615731462926107e+01	7.254413920807416538e-01
6.010970260521042263e+01	7.284648578386111462e-01
6.070324789579158420e+01	7.316424765554828680e-01
6.129679318637275287e+01	7.344541030205096188e-01
6.189033847695391444e+01	7.376900277398137362e-01
6.248388376753507600e+01	7.405960509687574689e-01
6.307742905811623757e+01	7.438289201925121219e-01
6.367097434869739914e+01	7.467408350990085708e-01
6.426451963927856070e+01	7.500418636629629932e-01
6.485806492985972227e+01	7.536037619750262095e-01
6.545161022044088384e+01	7.566288573632627967e-01
6.604515551102204540e+01	7.600774404063251888e-01
6.663870080160320697e+01	7.624870688467141333e-01
6.723224609218436854e+01	7.649323811102649584e-01
6.782579138276553010e+01	7.684376538998558548e-01
6.841933667334669167e+01	7.720093321870699077e-01
6.901288196392785323e+01	7.747864828059813913e-01
6.960642725450901480e+01	7.778934319940550290e-01
7.019997254509017637e+01	7.813445987700730067e-01
7.079351783567133793e+01	7.843370642426923389e-01
7.138706312625249950e+01	7.869390315484571241e-01
7.198060841683366107e+01	7.901969445834663430e-01
7.257415370741482263e+01	7.938235006030184282e-01
7.316769899799598420e+01	7.965664692162038873e-01
7.376124428857714577e+01	8.003960758919574925e-01
7.435478957915832154e+01	8.032577398360895016e-01
7.494833486973948311e+01	8.063636280122286060e-01
7.554188016032064468e+01	8.092802752575604108e-01
7.613542545090180624e+01	8.123697909904163961e-01
7.672897074148296781e+01	8.156128732767162770e-01
7.732251603206412938e+01	8.185337269968081531e-01
7.791606132264529094e+01	8.223269922271898569e-01
7.850960661322645251e+01	8.244908495576823704e-01
7.910315190380761408e+01	8.280223971062001809e-01
7.969669719438877564e+01	8.313707751077227259e-01
8.029024248496993721e+01	8.344147401832744393e-01
8.088378777555109878e+01	8.375625668425977777e-01
8.147733306613226034e+01	8.410759215539623801e-01
8.207087835671342191e+01	8.437446292968776573e-01
8.266442364729458347e+01	8.472648560418820640e-01
8.325796893787574504e+01	8.504645135997866978e-01
8.385151422845690661e+01	8.542774507003734197e-01
8.444505951903806817e+01	8.574499486470367193e-01
8.503860480961922974e+01	8.603951639079380209e-01
8.563215010020040552e+01	8.637835843196092211e-01
