T	B32KOP4 Rho_mr	Err
8.874399999999999977e+01	2.202021762073920752e-01	1.230541056472138489e-01
8.974399999999999977e+01	2.221820424062913857e-01	1.241605009998976161e-01
9.074399999999999977e+01	2.241495995623391801e-01	1.252600177726982955e-01
9.174399999999999977e+01	2.261234649930248253e-01	1.263630597563170921e-01
9.274399999999999977e+01	2.281087015719690803e-01	1.274724562024722729e-01
9.374399999999999977e+01	2.301536083081435480e-01	1.286151977224966603e-01
9.474399999999999977e+01	2.322130110435695061e-01	1.297660399445852708e-01
9.574399999999999977e+01	2.342065173488407093e-01	1.308800577064542503e-01
9.674399999999999977e+01	2.361240556564181137e-01	1.319516227815467624e-01
9.774399999999999977e+01	2.381269409076165466e-01	1.330708817168811953e-01
9.874399999999999977e+01	2.402096057718479116e-01	1.342347233584347266e-01
9.974399999999999977e+01	2.422332755286653871e-01	1.353655971596816054e-01
1.007439999999999998e+02	2.441757526072163287e-01	1.364510986009397353e-01
1.017439999999999998e+02	2.462622041934100225e-01	1.376170563509370171e-01
1.027439999999999998e+02	2.483924754450010097e-01	1.388075015507319876e-01
1.037439999999999998e+02	2.503540384222584514e-01	1.399036686367909621e-01
1.047439999999999998e+02	2.524006364437640371e-01	1.410473552864566216e-01
1.057439999999999998e+02	2.544643230365373765e-01	1.422005914278229588e-01
1.067439999999999998e+02	2.565193467340562972e-01	1.433489865415199516e-01
1.077439999999999998e+02	2.586399220152403311e-01	1.445340134071851357e-01
1.087439999999999998e+02	2.608571239661561791e-01	1.457730375068027329e-01
1.097439999999999998e+02	2.629758958441907324e-01	1.469570565887778901e-01
1.107439999999999998e+02	2.649278133699536353e-01	1.480478335718521388e-01
1.117439999999999998e+02	2.668609627536481232e-01	1.491281224799369531e-01
1.127439999999999998e+02	2.688265547972159553e-01	1.502265411021067865e-01
1.137439999999999998e+02	2.708685299721497741e-01	1.513676443974195374e-01
1.147439999999999998e+02	2.729228131832177051e-01	1.525156257100382384e-01
1.157439999999999998e+02	2.749599783105841078e-01	1.536540410387208511e-01
1.167439999999999998e+02	2.770407020003833876e-01	1.548167979067822386e-01
1.177439999999999998e+02	2.791453122663089537e-01	1.559929031500179308e-01
1.187439999999999998e+02	2.813168862914982027e-01	1.572064293018426706e-01
1.197439999999999998e+02	2.834104455081785656e-01	1.583763589613272627e-01
1.207439999999999998e+02	2.854177714982483738e-01	1.594980994849894695e-01
1.217439999999999998e+02	2.873786513941365417e-01	1.605938848492670379e-01
1.227439999999999998e+02	2.893965474048222353e-01	1.617215321466767552e-01
1.237439999999999998e+02	2.914473993896289361e-01	1.628675960101306774e-01
1.247439999999999998e+02	2.934913996532392266e-01	1.640098309721700343e-01
1.257439999999999998e+02	2.955565860560704916e-01	1.651639052423345688e-01
1.267439999999999998e+02	2.976678967512473850e-01	1.663437548415214740e-01
1.277439999999999998e+02	2.997998181758977365e-01	1.675351221964626325e-01
1.287439999999999998e+02	3.019606684902016447e-01	1.687426556888371454e-01
1.297439999999999998e+02	3.040684973638781430e-01	1.699205595650611078e-01
1.307439999999999998e+02	3.060425767844235367e-01	1.710237211311983474e-01
1.317439999999999998e+02	3.080055114266987970e-01	1.721206547356220751e-01
1.327439999999999998e+02	3.100157876755342823e-01	1.732440439326085047e-01
1.337439999999999998e+02	3.120136340204388570e-01	1.743604870097252291e-01
1.347439999999999998e+02	3.140600989777468932e-01	1.755040993000175908e-01
1.357439999999999998e+02	3.161551489709172880e-01	1.766748620401323022e-01
1.367439999999999998e+02	3.182350197339482989e-01	1.778371422728468321e-01
1.377439999999999998e+02	3.203547383900944845e-01	1.790216904364858586e-01
1.387439999999999998e+02	3.224878378466004558e-01	1.802137161030700208e-01
1.397439999999999998e+02	3.245658329318614754e-01	1.813749481633529781e-01
1.407439999999999998e+02	3.265535115100124952e-01	1.824857092555509652e-01
1.417439999999999998e+02	3.285054225129119820e-01	1.835764825934971811e-01
1.427439999999999998e+02	3.304834731824250471e-01	1.846818633860673187e-01
1.437439999999999998e+02	3.324574577986183499e-01	1.857849719733241922e-01
1.447439999999999998e+02	3.344421816411317083e-01	1.868940818904176737e-01
1.457439999999999998e+02	3.365006450547870509e-01	1.880443991976195328e-01
1.467439999999999998e+02	3.385636902398809212e-01	1.891972769054329484e-01
1.477439999999999998e+02	3.406299267325834101e-01	1.903519379902792741e-01
1.487439999999999998e+02	3.427878289738887085e-01	1.915578240307870828e-01
1.497439999999999998e+02	3.448566898880658371e-01	1.927139517034890115e-01
1.507439999999999998e+02	3.467937613764208171e-01	1.937964323750230589e-01
1.517439999999999998e+02	3.487235645311212440e-01	1.948748513323959874e-01
1.527439999999999998e+02	3.506569412832018506e-01	1.959552672992315447e-01
1.537439999999999998e+02	3.526462499695164898e-01	1.970669393338445874e-01
1.547439999999999998e+02	3.546694327774971289e-01	1.981975410167379492e-01
1.557439999999999998e+02	3.566762776354802655e-01	1.993190126725823408e-01
1.567439999999999998e+02	3.586883367328243533e-01	2.004433981668465869e-01
