T	B28KUD3A Rho_mr	Err
6.387359999999998905e+01	7.251002709171243399e-02	2.474439694235595205e-02
6.487359999999998195e+01	7.332374434003435804e-02	2.502208188330697775e-02
6.587359999999998195e+01	7.408475053218724349e-02	2.528177892176490527e-02
6.687359999999998195e+01	7.487025618221004875e-02	2.554983651854449492e-02
6.787359999999998195e+01	7.566320924591256325e-02	2.582043558121061705e-02
6.887359999999998195e+01	7.650233065044165226e-02	2.610678981316026312e-02
6.987359999999998195e+01	7.730115687445057726e-02	2.637939312014619606e-02
7.087359999999998195e+01	7.805765978845395636e-02	2.663755339318638754e-02
7.187359999999998195e+01	7.886114004075062134e-02	2.691174490980278305e-02
7.287359999999998195e+01	7.968022453169031072e-02	2.719126144821897018e-02
7.387359999999998195e+01	8.048341946264651880e-02	2.746535559754994041e-02
7.487359999999998195e+01	8.128878624517518747e-02	2.774019090171927354e-02
7.587359999999998195e+01	8.207282067576655848e-02	2.800774643776243744e-02
7.687359999999998195e+01	8.286987635960187115e-02	2.827974553936304578e-02
7.787359999999998195e+01	8.370444850929197045e-02	2.856454731612761630e-02
7.887359999999998195e+01	8.453500072760135320e-02	2.884797727189370928e-02
7.987359999999998195e+01	8.534144460505163621e-02	2.912318013990701851e-02
8.087359999999998195e+01	8.614743455990363230e-02	2.939822810464138778e-02
8.187359999999998195e+01	8.698330420010237651e-02	2.968347265630844750e-02
8.287359999999998195e+01	8.783001263881383414e-02	2.997241600031546813e-02
8.387359999999998195e+01	8.870431105840805019e-02	3.027077455854839533e-02
8.487359999999998195e+01	8.952684882073762285e-02	3.055146954250443150e-02
8.587359999999998195e+01	9.035293150783424432e-02	3.083337424915793754e-02
8.687359999999998195e+01	9.117087625333820944e-02	3.111250184393962379e-02
8.787359999999998195e+01	9.199874513921774133e-02	3.139501609955449440e-02
8.887359999999998195e+01	9.286021222495600969e-02	3.168899590313835335e-02
8.987359999999998195e+01	9.370609775557676990e-02	3.197765842578507989e-02
9.087359999999998195e+01	9.450171344551547281e-02	3.224916612251381431e-02
9.187359999999998195e+01	9.534912265571970913e-02	3.253834860817721858e-02
9.287359999999998195e+01	9.620908668631307503e-02	3.283181548693366730e-02
9.387359999999998195e+01	9.705369377057795899e-02	3.312004173358700648e-02
9.487359999999998195e+01	9.787801797822812122e-02	3.340134635063658070e-02
9.587359999999998195e+01	9.871372411010770342e-02	3.368653510430003745e-02
9.687359999999998195e+01	9.955861725878603630e-02	3.397485897181605485e-02
9.787359999999996774e+01	1.004063906195983985e-01	3.426416572563320551e-02
9.887359999999996774e+01	1.012644843379788412e-01	3.455699435131406178e-02
9.987359999999996774e+01	1.021052075477599796e-01	3.484389520704210541e-02
1.008735999999999677e+02	1.029119699876351879e-01	3.511920678602147017e-02
1.018735999999999677e+02	1.037366734900758147e-01	3.540064083925015259e-02
1.028735999999999677e+02	1.045501286597275842e-01	3.567823634458923421e-02
1.038735999999999677e+02	1.053822414635576105e-01	3.596219885770130659e-02
1.048735999999999677e+02	1.062215511224368913e-01	3.624861733235715255e-02
1.058735999999999677e+02	1.070587291053687606e-01	3.653430836230071865e-02
1.068735999999999677e+02	1.079408358854986871e-01	3.683533156127802299e-02
1.078735999999999677e+02	1.088482418441042571e-01	3.714498822709606102e-02
1.088735999999999677e+02	1.097427762796487488e-01	3.745025242350467909e-02
1.098735999999999677e+02	1.105998881254724453e-01	3.774274598043345780e-02
1.108735999999999677e+02	1.113824808212224987e-01	3.800980951749895892e-02
1.118735999999999677e+02	1.122275701860071945e-01	3.829820034470892559e-02
1.128735999999999677e+02	1.130659456305883326e-01	3.858430001422361033e-02
1.138735999999999677e+02	1.139165048885926457e-01	3.887455746891237823e-02
1.148735999999999677e+02	1.147617760145297344e-01	3.916301032299344259e-02
1.158735999999999677e+02	1.156445458443704222e-01	3.946425979088682978e-02
1.168735999999999677e+02	1.164994559263284463e-01	3.975600198526273166e-02
1.178735999999999677e+02	1.173668215675167104e-01	4.005199469938180296e-02
1.188735999999999677e+02	1.182756480687257999e-01	4.036213613222399549e-02
1.198735999999999677e+02	1.191533783824726273e-01	4.066166584091131936e-02
1.208735999999999677e+02	1.199808648883036594e-01	4.094404960748787570e-02
1.218735999999999677e+02	1.208197896472361643e-01	4.123033673317796216e-02
1.228735999999999677e+02	1.216449268208828066e-01	4.151191877880016506e-02
1.238735999999999677e+02	1.224895322796127894e-01	4.180014447073187450e-02
1.248735999999999677e+02	1.233189472453016522e-01	4.208318633354867638e-02
1.258735999999999677e+02	1.242120038256136066e-01	4.238794620472169372e-02
1.268735999999999677e+02	1.250934102334966547e-01	4.268873039828720989e-02
1.278735999999999677e+02	1.259658088201854320e-01	4.298644062936565063e-02
1.288735999999999819e+02	1.269150596935307018e-01	4.331037707443446960e-02
1.298735999999999819e+02	1.277514062144123053e-01	4.359578436393772571e-02
1.308735999999999819e+02	1.285515286575670268e-01	4.386883001196742460e-02
1.318735999999999819e+02	1.293957205318029546e-01	4.415691456619304928e-02
1.328735999999999819e+02	1.302349268660818182e-01	4.444329778082999755e-02
1.338735999999999819e+02	1.310825486593021061e-01	4.473255281147433399e-02
1.348735999999999819e+02	1.319214025275002589e-01	4.501881574535893105e-02
1.358735999999999819e+02	1.327679616222367243e-01	4.530770812501320327e-02
1.368735999999999819e+02	1.336611077947044146e-01	4.561249856994205321e-02
1.378735999999999819e+02	1.345429965396500727e-01	4.591344736335969956e-02
1.388735999999999819e+02	1.354291623087051921e-01	4.621585571191118985e-02
1.398735999999999819e+02	1.363261032284496799e-01	4.652194113267550668e-02
1.408735999999999819e+02	1.371164851890165071e-01	4.679166279397907469e-02
1.418735999999999819e+02	1.379273135685286089e-01	4.706836189449654928e-02
1.428735999999999819e+02	1.387679980077435316e-01	4.735524951958161588e-02
1.438735999999999819e+02	1.396053734397405266e-01	4.764100792997226497e-02
1.448735999999999819e+02	1.404532938684605603e-01	4.793036487142318669e-02
1.458735999999999819e+02	1.412920440506782727e-01	4.821659242196620759e-02
1.468735999999999819e+02	1.421754154930991165e-01	4.851804719305815444e-02
1.478735999999999819e+02	1.430569644503834337e-01	4.881888003229530731e-02
1.488735999999999819e+02	1.439316396264491982e-01	4.911736716049375229e-02
1.498735999999999819e+02	1.448160332174925347e-01	4.941917074473973354e-02
1.508735999999999819e+02	1.455954458123223938e-01	4.968514905700746609e-02
1.518735999999999819e+02	1.463919137019385752e-01	4.995694757099197747e-02
1.528735999999999819e+02	1.472069307263701443e-01	5.023507606681786725e-02
1.538735999999999819e+02	1.480333971012844363e-01	5.051711170879221585e-02
1.548735999999999819e+02	1.489010165562968391e-01	5.081319103810461035e-02
1.558735999999999819e+02	1.497616929956820109e-01	5.110690102980193494e-02
1.568735999999999819e+02	1.506323518382250704e-01	5.140401756478831657e-02
1.578735999999999819e+02	1.514968416058483647e-01	5.169902887316391027e-02
1.588735999999999819e+02	1.523603452574590622e-01	5.199370366468761273e-02
1.598735999999999819e+02	1.532140758955785331e-01	5.228504336815732040e-02
1.608735999999999819e+02	1.540295932959639125e-01	5.256334261969408672e-02
1.618735999999999819e+02	1.548404779537380094e-01	5.284006092544026034e-02
1.628735999999999819e+02	1.556504840964313130e-01	5.311647943367221736e-02
1.638735999999999819e+02	1.565017105810983244e-01	5.340696458268211211e-02
1.648735999999999819e+02	1.573441725587969575e-01	5.369445880135961108e-02
1.658735999999999819e+02	1.581538545585767785e-01	5.397076669425684980e-02
1.668735999999999819e+02	1.589964436065613995e-01	5.425830427628316327e-02
1.678735999999999819e+02	1.598798523765375401e-01	5.455977178558361895e-02
