T	B30KOD3 Rho_mr	Err
8.551449999999999818e+01	6.576261551562202767e-02	3.120224881473285597e-02
8.651449999999999818e+01	6.634454389967155141e-02	3.147835514184747080e-02
8.751449999999999818e+01	6.685125241684083952e-02	3.171877205813487810e-02
8.851449999999999818e+01	6.730543096254217039e-02	3.193426519018525978e-02
8.951449999999999818e+01	6.793854634997330277e-02	3.223465810631506723e-02
9.051449999999999818e+01	6.842754188477789823e-02	3.246667078139856694e-02
9.151449999999999818e+01	6.893241007302043644e-02	3.270621452072026980e-02
9.251449999999999818e+01	6.949988557416507395e-02	3.297546341911260226e-02
9.351449999999999818e+01	6.998255153107665882e-02	3.320447291278730284e-02
9.451449999999999818e+01	7.061001104481662294e-02	3.350218229851322643e-02
9.551449999999999818e+01	7.102480060885132951e-02	3.369898662390826555e-02
9.651449999999999818e+01	7.163836153777246307e-02	3.399010157755009282e-02
9.751449999999999818e+01	7.206366545111660138e-02	3.419189462397918822e-02
9.851449999999999818e+01	7.271881704443659833e-02	3.450274301201636945e-02
9.951449999999999818e+01	7.315411308920800881e-02	3.470927700386771536e-02
1.005144999999999982e+02	7.374697412579060696e-02	3.499057052346041252e-02
1.015144999999999982e+02	7.415040008143543304e-02	3.518198318166530086e-02
1.025144999999999982e+02	7.478004407502918116e-02	3.548072903291792785e-02
1.035144999999999982e+02	7.516044215315290100e-02	3.566121570287775211e-02
1.045144999999999982e+02	7.582986352941176178e-02	3.597883464458435238e-02
1.055144999999999982e+02	7.624151576995606694e-02	3.617415041075174725e-02
1.065144999999999982e+02	7.697240896006948829e-02	3.652093575370234102e-02
1.075144999999999982e+02	7.737162080765856709e-02	3.671034895298886519e-02
1.085144999999999982e+02	7.803596721083634613e-02	3.702555998297293871e-02
1.095144999999999982e+02	7.855894817174255418e-02	3.727369765115443739e-02
1.105144999999999982e+02	7.912595946741225739e-02	3.754272629895887697e-02
1.115144999999999982e+02	7.958239122415555755e-02	3.775928850727717362e-02
1.125144999999999982e+02	8.019314155921712650e-02	3.804906992440686836e-02
1.135144999999999982e+02	8.065146158044748936e-02	3.826652805357459719e-02
1.145144999999999982e+02	8.133372465077771951e-02	3.859023996665217338e-02
1.155144999999999982e+02	8.173941961363410946e-02	3.878272919590008277e-02
1.165144999999999982e+02	8.244180689188086719e-02	3.911598939925912261e-02
1.175144999999999982e+02	8.288715989110007065e-02	3.932729509297387682e-02
1.185144999999999982e+02	8.357311195490287059e-02	3.965275731496639700e-02
1.195144999999999982e+02	8.407108290327328093e-02	3.988902853550310712e-02
1.205144999999999982e+02	8.466011909280925229e-02	4.016850728802347920e-02
1.215144999999999982e+02	8.510873799218540703e-02	4.038136254646437773e-02
1.225144999999999982e+02	8.574063062379543021e-02	4.068117530423110556e-02
1.235144999999999982e+02	8.615802579159236030e-02	4.087921590492122476e-02
1.245144999999999982e+02	8.681110275588370395e-02	4.118907994811987772e-02
1.255144999999999982e+02	8.727593134056298163e-02	4.140962618159377273e-02
