min F=100; num_slices=100; num_pts=200
angle,B_x,B_y,B_z,band number,Wien2k band number,spin dirn,branch,area [Angstrom^-2],freq [T],k_x,k_y,k_z,k_parallel,slicenum,inplane dk (Angstrom^-1),dF/dkpara^2,mass (m_e),df/dM [T/(mu_B/f.u.)]
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.157368999999999915e+03,-8.163051000000000057e-01,-8.192599000000000409e-01,-8.458742999999999471e-03,-8.458742999999999471e-03,5.300000000000000000e+01,1.801118999999999984e-02,6.198729999999999563e+03,9.613051000000000235e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.157218000000000075e+03,8.199094999999999578e-01,-8.218855999999999939e-01,-5.041050999999999727e-01,-5.041050999999999727e-01,1.000000000000000000e+01,1.801118999999999984e-02,1.542885000000000036e+04,9.573246000000000533e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.157218000000000075e+03,8.199098000000000219e-01,-8.218851000000000351e-01,5.040974000000000288e-01,5.040974000000000288e-01,9.900000000000000000e+01,1.801118999999999984e-02,1.543020999999999913e+04,9.573360999999999676e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.100000000000000000e+01,0.000000000000000000e+00,1.157218000000000075e+03,-8.214500999999999609e-01,8.209087000000000467e-01,-5.041050999999999727e-01,-5.041050999999999727e-01,1.000000000000000000e+01,1.801118999999999984e-02,1.542885000000000036e+04,9.573246000000000533e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00,1.157218000000000075e+03,-8.214496000000000020e-01,8.209090999999999472e-01,5.040974000000000288e-01,5.040974000000000288e-01,9.900000000000000000e+01,1.801118999999999984e-02,1.543020999999999913e+04,9.573360999999999676e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,1.156929000000000087e+03,8.160676999999999515e-01,8.201696000000000542e-01,-3.193075999999999987e-03,-3.193075999999999987e-03,5.400000000000000000e+01,1.801118999999999984e-02,1.070811000000000058e+04,1.020138000000000017e-01,0.000000000000000000e+00
1.000000000000000000e+00,3.030578999999999825e-03,-1.718727000000000102e-02,9.998477000000000059e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.157055000000000064e+03,8.194595000000000073e-01,-8.212842999999999671e-01,-5.044113000000000069e-01,-4.877354999999999885e-01,1.100000000000000000e+01,1.799419000000000018e-02,1.604004999999999927e+04,9.783825000000000160e-02,0.000000000000000000e+00
1.000000000000000000e+00,3.030578999999999825e-03,-1.718727000000000102e-02,9.998477000000000059e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.157217000000000098e+03,8.189400000000000013e-01,-8.205021999999999593e-01,5.050658000000000092e-01,5.215729000000000060e-01,1.010000000000000000e+02,1.799419000000000018e-02,1.471782999999999993e+04,9.774692000000000103e-02,0.000000000000000000e+00
1.000000000000000000e+00,3.030578999999999825e-03,-1.718727000000000102e-02,9.998477000000000059e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.100000000000000000e+01,0.000000000000000000e+00,1.157118999999999915e+03,-8.207908000000000426e-01,8.197832000000000452e-01,-5.040436999999999834e-01,-5.205442000000000125e-01,8.000000000000000000e+00,1.799419000000000018e-02,1.549911000000000058e+04,9.752982999999999791e-02,0.000000000000000000e+00
1.000000000000000000e+00,3.030578999999999825e-03,-1.718727000000000102e-02,9.998477000000000059e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00,1.157260999999999967e+03,-8.162458000000000213e-01,8.182658000000000431e-01,5.054104000000000374e-01,4.887960000000000083e-01,9.800000000000000000e+01,1.799419000000000018e-02,1.462240999999999985e+04,9.786375999999999409e-02,0.000000000000000000e+00
