min F=100; num_slices=100; num_pts=200
angle,B_x,B_y,B_z,band number,Wien2k band number,spin dirn,branch,area [Angstrom^-2],freq [T],k_x,k_y,k_z,k_parallel,slicenum,inplane dk (Angstrom^-1),dF/dkpara^2,mass (m_e),df/dM [T/(mu_B/f.u.)]
3.600000000000000000e+01,1.020678000000000002e-01,-5.788554999999999673e-01,8.090169999999999861e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,3.800000000000000000e+01,0.000000000000000000e+00,2.773010999999999967e+03,8.193981000000000181e-01,8.213312999999999864e-01,5.014125000000000387e-01,1.385331000000000062e-02,5.500000000000000000e+01,1.738396999999999859e-02,4.212069000000000415e+03,1.775886000000000131e-01,0.000000000000000000e+00
3.600000000000000000e+01,1.020678000000000002e-01,-5.788554999999999673e-01,8.090169999999999861e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+01,0.000000000000000000e+00,2.773139000000000124e+03,-8.214559999999999640e-01,-8.226763999999999744e-01,-5.051236000000000059e-01,-1.628705000000000083e-02,5.300000000000000000e+01,1.738396999999999859e-02,3.585789000000000215e+03,1.776029000000000080e-01,0.000000000000000000e+00
3.600000000000000000e+01,1.020678000000000002e-01,-5.788554999999999673e-01,8.090169999999999861e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.600000000000000000e+01,0.000000000000000000e+00,2.778547000000000025e+03,8.140068999999999777e-01,-8.218718000000000412e-01,5.891114999999999720e-03,5.635949000000000098e-01,9.500000000000000000e+01,1.738396999999999859e-02,1.655421000000000049e+03,1.779494000000000076e-01,0.000000000000000000e+00
3.700000000000000000e+01,1.045041000000000025e-01,-5.926721000000000350e-01,7.986355000000000537e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,3.800000000000000000e+01,0.000000000000000000e+00,2.804751999999999953e+03,8.190954999999999764e-01,8.196248999999999896e-01,5.004271999999999609e-01,-5.111022000000000004e-04,5.400000000000000000e+01,1.737075999999999898e-02,4.704337999999999738e+03,1.802904999999999924e-01,0.000000000000000000e+00
3.700000000000000000e+01,1.045041000000000025e-01,-5.926721000000000350e-01,7.986355000000000537e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.700000000000000000e+01,0.000000000000000000e+00,2.809963999999999942e+03,-8.181465999999999461e-01,8.197845999999999744e-01,2.878317000000000245e-04,-5.711332000000000075e-01,1.400000000000000000e+01,1.737075999999999898e-02,3.649927000000000135e+03,1.802095999999999976e-01,0.000000000000000000e+00
3.700000000000000000e+01,1.045041000000000025e-01,-5.926721000000000350e-01,7.986355000000000537e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+01,0.000000000000000000e+00,2.804751000000000204e+03,-8.215031000000000416e-01,-8.212719000000000547e-01,-5.109958999999999474e-01,-7.205007999999999725e-03,5.400000000000000000e+01,1.737075999999999898e-02,4.666300000000000182e+03,1.804054999999999964e-01,0.000000000000000000e+00
3.700000000000000000e+01,1.045041000000000025e-01,-5.926721000000000350e-01,7.986355000000000537e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.600000000000000000e+01,0.000000000000000000e+00,2.810034000000000106e+03,8.175324999999999953e-01,-8.183683000000000485e-01,5.340546000000000485e-04,5.708860999999999519e-01,9.500000000000000000e+01,1.737075999999999898e-02,3.319443000000000211e+03,1.808923000000000059e-01,0.000000000000000000e+00
3.800000000000000000e+01,1.069085000000000035e-01,-6.063081999999999638e-01,7.880108000000000112e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,3.800000000000000000e+01,0.000000000000000000e+00,2.838324999999999818e+03,8.190479999999999983e-01,8.197927000000000408e-01,5.033864000000000116e-01,-1.280996000000000044e-02,5.400000000000000000e+01,1.735799999999999843e-02,6.209637999999999920e+03,1.830429000000000084e-01,0.000000000000000000e+00
3.800000000000000000e+01,1.069085000000000035e-01,-6.063081999999999638e-01,7.880108000000000112e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.700000000000000000e+01,0.000000000000000000e+00,2.843322999999999865e+03,-8.191684999999999661e-01,8.186265000000000347e-01,1.417551999999999875e-04,-5.838044000000000011e-01,1.400000000000000000e+01,1.735799999999999843e-02,5.991404000000000451e+03,1.824072999999999944e-01,0.000000000000000000e+00
3.800000000000000000e+01,1.069085000000000035e-01,-6.063081999999999638e-01,7.880108000000000112e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+01,0.000000000000000000e+00,2.838244999999999891e+03,-8.204553999999999458e-01,-8.206843000000000332e-01,-5.137815999999999494e-01,5.008575999999999827e-03,5.500000000000000000e+01,1.735799999999999843e-02,7.047560999999999694e+03,1.819069000000000103e-01,0.000000000000000000e+00
3.800000000000000000e+01,1.069085000000000035e-01,-6.063081999999999638e-01,7.880108000000000112e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.600000000000000000e+01,0.000000000000000000e+00,2.843318000000000211e+03,8.160524999999999585e-01,-8.201977999999999769e-01,-6.999168999999999530e-04,5.839841000000000060e-01,9.500000000000000000e+01,1.735799999999999843e-02,6.040204999999999927e+03,1.820854000000000084e-01,0.000000000000000000e+00
3.900000000000000000e+01,1.092802999999999969e-01,-6.197595999999999661e-01,7.771460000000000035e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.700000000000000000e+01,0.000000000000000000e+00,2.879105000000000018e+03,-8.203825999999999619e-01,8.164708999999999994e-01,-2.931327000000000065e-03,-5.979453999999999603e-01,1.300000000000000000e+01,1.612983000000000125e-02,7.459524000000000342e+03,1.849715000000000109e-01,0.000000000000000000e+00
3.900000000000000000e+01,1.092802999999999969e-01,-6.197595999999999661e-01,7.771460000000000035e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,3.800000000000000000e+01,0.000000000000000000e+00,2.874063999999999851e+03,8.201895999999999631e-01,8.205432999999999755e-01,5.016964000000000423e-01,-2.901768000000000056e-02,5.300000000000000000e+01,1.612983000000000125e-02,9.405381999999999607e+03,1.851611999999999980e-01,0.000000000000000000e+00
3.900000000000000000e+01,1.092802999999999969e-01,-6.197595999999999661e-01,7.771460000000000035e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+01,0.000000000000000000e+00,2.874262999999999920e+03,-8.183601000000000347e-01,-8.200743999999999811e-01,-5.135064999999999769e-01,1.974884999999999835e-02,5.600000000000000000e+01,1.612983000000000125e-02,8.419415000000000873e+03,1.852720999999999951e-01,0.000000000000000000e+00
3.900000000000000000e+01,1.092802999999999969e-01,-6.197595999999999661e-01,7.771460000000000035e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.600000000000000000e+01,0.000000000000000000e+00,2.879101000000000113e+03,8.213483999999999785e-01,-8.169621999999999717e-01,-1.854806000000000076e-03,5.946358999999999950e-01,9.600000000000000000e+01,1.612983000000000125e-02,7.584185999999999694e+03,1.854253999999999902e-01,0.000000000000000000e+00
4.000000000000000000e+01,1.116188999999999931e-01,-6.330221999999999793e-01,7.660443999999999587e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.700000000000000000e+01,0.000000000000000000e+00,2.916695000000000164e+03,-8.177288000000000334e-01,8.175054000000000487e-01,-9.698728999999999684e-04,-6.095159999999999467e-01,1.300000000000000000e+01,1.579188999999999940e-02,9.586977000000000771e+03,1.874984000000000095e-01,0.000000000000000000e+00
4.000000000000000000e+01,1.116188999999999931e-01,-6.330221999999999793e-01,7.660443999999999587e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,3.800000000000000000e+01,0.000000000000000000e+00,2.911938999999999851e+03,8.198056000000000232e-01,8.177178000000000502e-01,4.992866000000000248e-01,-4.365200000000000330e-02,5.200000000000000000e+01,1.579188999999999940e-02,1.119438999999999942e+04,1.883159000000000083e-01,0.000000000000000000e+00
4.000000000000000000e+01,1.116188999999999931e-01,-6.330221999999999793e-01,7.660443999999999587e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+01,0.000000000000000000e+00,2.911996999999999844e+03,-8.188955999999999458e-01,-8.171680999999999528e-01,-5.098401000000000183e-01,3.532115999999999728e-02,5.700000000000000000e+01,1.579188999999999940e-02,1.072568000000000029e+04,1.890349000000000057e-01,0.000000000000000000e+00
4.000000000000000000e+01,1.116188999999999931e-01,-6.330221999999999793e-01,7.660443999999999587e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.600000000000000000e+01,0.000000000000000000e+00,2.916846000000000004e+03,8.209260999999999919e-01,-8.180627999999999789e-01,-1.631574000000000002e-03,6.082328999999999652e-01,9.600000000000000000e+01,1.579188999999999940e-02,9.089226000000000568e+03,1.880295999999999912e-01,0.000000000000000000e+00
4.100000000000000000e+01,1.139234999999999970e-01,-6.460919999999999996e-01,7.547095999999999805e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.700000000000000000e+01,0.000000000000000000e+00,2.956757000000000062e+03,-8.179834000000000271e-01,8.208965999999999763e-01,2.718844000000000209e-03,-6.215102999999999600e-01,1.300000000000000000e+01,1.547244000000000050e-02,1.180645000000000073e+04,1.905325999999999964e-01,0.000000000000000000e+00
4.100000000000000000e+01,1.139234999999999970e-01,-6.460919999999999996e-01,7.547095999999999805e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,3.800000000000000000e+01,0.000000000000000000e+00,2.952230000000000018e+03,8.208351000000000397e-01,8.189978999999999454e-01,5.008249000000000173e-01,-5.765829000000000093e-02,5.100000000000000000e+01,1.547244000000000050e-02,1.316471999999999935e+04,1.919958999999999971e-01,0.000000000000000000e+00
4.100000000000000000e+01,1.139234999999999970e-01,-6.460919999999999996e-01,7.547095999999999805e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+01,0.000000000000000000e+00,2.952105000000000018e+03,-8.198265000000000136e-01,-8.183502000000000276e-01,-5.100926999999999545e-01,5.036028000000000032e-02,5.800000000000000000e+01,1.547244000000000050e-02,1.374570000000000073e+04,1.914673000000000069e-01,0.000000000000000000e+00
4.100000000000000000e+01,1.139234999999999970e-01,-6.460919999999999996e-01,7.547095999999999805e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.600000000000000000e+01,0.000000000000000000e+00,2.956664999999999964e+03,8.191920000000000313e-01,-8.168056000000000205e-01,5.733767999999999547e-04,6.214895000000000280e-01,9.600000000000000000e+01,1.547244000000000050e-02,1.196212999999999920e+04,1.908552000000000026e-01,0.000000000000000000e+00
4.200000000000000000e+01,1.161932999999999994e-01,-6.589650000000000230e-01,7.431448000000000498e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.700000000000000000e+01,0.000000000000000000e+00,2.999103000000000065e+03,-8.199064999999999825e-01,8.176982000000000417e-01,2.703754000000000270e-04,-6.339012000000000535e-01,1.300000000000000000e+01,1.517018000000000012e-02,1.489155999999999949e+04,1.944009999999999905e-01,0.000000000000000000e+00
4.200000000000000000e+01,1.161932999999999994e-01,-6.589650000000000230e-01,7.431448000000000498e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,3.800000000000000000e+01,0.000000000000000000e+00,2.994983000000000175e+03,8.201713999999999949e-01,8.199859999999999927e-01,5.017416999999999572e-01,-7.217690999999999690e-02,5.000000000000000000e+01,1.517018000000000012e-02,1.621151000000000022e+04,1.950459999999999972e-01,0.000000000000000000e+00
4.200000000000000000e+01,1.161932999999999994e-01,-6.589650000000000230e-01,7.431448000000000498e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+01,0.000000000000000000e+00,2.994960999999999785e+03,-8.208275999999999906e-01,-8.200260999999999800e-01,-5.118141999999999969e-01,6.464172999999999447e-02,5.900000000000000000e+01,1.517018000000000012e-02,1.636887000000000080e+04,1.950618000000000074e-01,0.000000000000000000e+00
4.200000000000000000e+01,1.161932999999999994e-01,-6.589650000000000230e-01,7.431448000000000498e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.600000000000000000e+01,0.000000000000000000e+00,2.999248999999999796e+03,8.192542999999999909e-01,-8.171199000000000101e-01,2.002379999999999893e-04,6.337941000000000269e-01,9.600000000000000000e+01,1.517018000000000012e-02,1.441012999999999920e+04,1.939422000000000090e-01,0.000000000000000000e+00
4.300000000000000000e+01,1.184277999999999997e-01,-6.716372999999999927e-01,7.313536999999999955e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.700000000000000000e+01,0.000000000000000000e+00,3.044456000000000131e+03,-8.191167000000000309e-01,8.174654000000000087e-01,-4.209800999999999778e-04,-6.463543000000000482e-01,1.200000000000000000e+01,1.488394999999999996e-02,1.779970000000000073e+04,1.976880000000000026e-01,0.000000000000000000e+00
4.300000000000000000e+01,1.184277999999999997e-01,-6.716372999999999927e-01,7.313536999999999955e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,3.800000000000000000e+01,0.000000000000000000e+00,3.040724000000000160e+03,8.198062999999999878e-01,8.183460999999999652e-01,5.001647000000000176e-01,-8.674661999999999651e-02,4.900000000000000000e+01,1.488394999999999996e-02,1.923911999999999898e+04,1.977944000000000091e-01,0.000000000000000000e+00
4.300000000000000000e+01,1.184277999999999997e-01,-6.716372999999999927e-01,7.313536999999999955e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+01,0.000000000000000000e+00,3.040643999999999778e+03,-8.193761999999999990e-01,-8.175729000000000468e-01,-5.095248999999999473e-01,7.943260000000000598e-02,6.000000000000000000e+01,1.488394999999999996e-02,1.962631000000000131e+04,1.982407999999999948e-01,0.000000000000000000e+00
4.300000000000000000e+01,1.184277999999999997e-01,-6.716372999999999927e-01,7.313536999999999955e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.600000000000000000e+01,0.000000000000000000e+00,3.044407999999999902e+03,8.192198000000000535e-01,-8.168978999999999546e-01,8.257934000000000411e-04,6.462814000000000059e-01,9.700000000000000000e+01,1.488394999999999996e-02,1.813945999999999913e+04,1.983277999999999985e-01,0.000000000000000000e+00
4.400000000000000000e+01,1.206262000000000029e-01,-6.841049000000000158e-01,7.193397999999999737e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.700000000000000000e+01,0.000000000000000000e+00,3.092177999999999884e+03,-8.171890000000000542e-01,8.200868000000000047e-01,8.205410000000000438e-04,-6.590095999999999732e-01,1.200000000000000000e+01,1.729148999999999964e-02,2.082824000000000160e+04,2.027346999999999899e-01,0.000000000000000000e+00
4.400000000000000000e+01,1.206262000000000029e-01,-6.841049000000000158e-01,7.193397999999999737e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,3.800000000000000000e+01,0.000000000000000000e+00,3.088782999999999902e+03,8.188904000000000183e-01,8.205158000000000174e-01,5.016758999999999524e-01,-1.016639000000000015e-01,4.800000000000000000e+01,1.729148999999999964e-02,2.288804999999999927e+04,2.007131000000000054e-01,0.000000000000000000e+00
4.400000000000000000e+01,1.206262000000000029e-01,-6.841049000000000158e-01,7.193397999999999737e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+01,0.000000000000000000e+00,3.088806999999999789e+03,-8.174477999999999467e-01,-8.205430000000000224e-01,-5.125802000000000413e-01,9.401262999999999981e-02,6.100000000000000000e+01,1.729148999999999964e-02,2.252147999999999956e+04,2.034947000000000006e-01,0.000000000000000000e+00
4.400000000000000000e+01,1.206262000000000029e-01,-6.841049000000000158e-01,7.193397999999999737e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.600000000000000000e+01,0.000000000000000000e+00,3.092188999999999851e+03,8.164590999999999932e-01,-8.195474000000000370e-01,-2.983616000000000133e-04,6.589281999999999639e-01,9.700000000000000000e+01,1.729148999999999964e-02,2.054391999999999825e+04,2.025980000000000003e-01,0.000000000000000000e+00
4.500000000000000000e+01,1.227878000000000025e-01,-6.963641999999999888e-01,7.071068000000000353e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.700000000000000000e+01,0.000000000000000000e+00,3.143804999999999836e+03,-8.172719000000000511e-01,8.203386000000000289e-01,2.170440000000000043e-03,-6.700707000000000191e-01,1.200000000000000000e+01,1.728218000000000115e-02,2.518250000000000000e+04,2.057488000000000095e-01,0.000000000000000000e+00
4.500000000000000000e+01,1.227878000000000025e-01,-6.963641999999999888e-01,7.071068000000000353e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,3.800000000000000000e+01,0.000000000000000000e+00,3.140983000000000175e+03,8.189492000000000438e-01,8.213013000000000119e-01,5.029088000000000447e-01,-1.157577000000000050e-01,4.700000000000000000e+01,1.728218000000000115e-02,2.674106000000000131e+04,2.060596000000000094e-01,0.000000000000000000e+00
4.500000000000000000e+01,1.227878000000000025e-01,-6.963641999999999888e-01,7.071068000000000353e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+01,0.000000000000000000e+00,3.141003999999999905e+03,-8.207128999999999674e-01,-8.200207999999999942e-01,-5.114275000000000349e-01,1.086257999999999946e-01,6.100000000000000000e+01,1.728218000000000115e-02,2.653249000000000160e+04,2.061343999999999954e-01,0.000000000000000000e+00
4.500000000000000000e+01,1.227878000000000025e-01,-6.963641999999999888e-01,7.071068000000000353e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,5.300000000000000000e+01,0.000000000000000000e+00,3.140994999999999891e+03,-8.187459000000000264e-01,-8.197054000000000284e-01,4.984100000000000197e-01,8.227105999999999586e-01,1.060000000000000000e+02,1.728218000000000115e-02,2.665888000000000102e+04,2.079227999999999910e-01,0.000000000000000000e+00
4.500000000000000000e+01,1.227878000000000025e-01,-6.963641999999999888e-01,7.071068000000000353e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.600000000000000000e+01,0.000000000000000000e+00,3.143833000000000084e+03,8.164645000000000374e-01,-8.213970000000000438e-01,-2.860500000000000195e-03,6.702207000000000026e-01,9.700000000000000000e+01,1.728218000000000115e-02,2.512541999999999825e+04,2.055686999999999931e-01,0.000000000000000000e+00
4.600000000000000000e+01,1.249119999999999953e-01,-7.084114000000000244e-01,6.946584000000000092e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.700000000000000000e+01,0.000000000000000000e+00,3.199260000000000218e+03,-8.177242000000000122e-01,8.195734999999999548e-01,2.015497000000000209e-03,-6.813386999999999638e-01,1.200000000000000000e+01,1.727340999999999946e-02,2.970777000000000044e+04,2.090230999999999895e-01,0.000000000000000000e+00
4.600000000000000000e+01,1.249119999999999953e-01,-7.084114000000000244e-01,6.946584000000000092e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,5.400000000000000000e+01,0.000000000000000000e+00,3.197052000000000135e+03,8.169418999999999986e-01,8.225088999999999873e-01,-5.057859999999999578e-01,-8.319773000000000307e-01,3.000000000000000000e+00,1.727340999999999946e-02,3.109295999999999913e+04,2.116563999999999945e-01,0.000000000000000000e+00
4.600000000000000000e+01,1.249119999999999953e-01,-7.084114000000000244e-01,6.946584000000000092e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,3.800000000000000000e+01,0.000000000000000000e+00,3.197016000000000076e+03,8.188706999999999514e-01,8.190595000000000514e-01,5.009325999999999501e-01,-1.299672000000000049e-01,4.600000000000000000e+01,1.727340999999999946e-02,3.129815000000000146e+04,2.122516999999999876e-01,0.000000000000000000e+00
4.600000000000000000e+01,1.249119999999999953e-01,-7.084114000000000244e-01,6.946584000000000092e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+01,0.000000000000000000e+00,3.197101999999999862e+03,-8.206788999999999890e-01,-8.227590999999999655e-01,-5.145442999999999545e-01,1.229066999999999937e-01,6.200000000000000000e+01,1.727340999999999946e-02,3.066765000000000146e+04,2.098073000000000021e-01,0.000000000000000000e+00
4.600000000000000000e+01,1.249119999999999953e-01,-7.084114000000000244e-01,6.946584000000000092e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,5.300000000000000000e+01,0.000000000000000000e+00,3.197079999999999927e+03,-8.185014999999999930e-01,-8.188298999999999994e-01,4.994206999999999952e-01,8.247544999999999460e-01,1.060000000000000000e+02,1.727340999999999946e-02,3.071593000000000029e+04,2.126174999999999871e-01,0.000000000000000000e+00
4.600000000000000000e+01,1.249119999999999953e-01,-7.084114000000000244e-01,6.946584000000000092e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.600000000000000000e+01,0.000000000000000000e+00,3.199161000000000058e+03,8.170781000000000294e-01,-8.217849000000000403e-01,-4.408119000000000273e-03,6.811625999999999515e-01,9.700000000000000000e+01,1.727340999999999946e-02,2.994645000000000073e+04,2.100093000000000099e-01,0.000000000000000000e+00
4.700000000000000000e+01,1.269982000000000055e-01,-7.202427999999999608e-01,6.819984000000000046e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.700000000000000000e+01,0.000000000000000000e+00,3.258954999999999927e+03,-8.181659000000000015e-01,8.199372000000000327e-01,2.337922999999999998e-03,-6.928649999999999531e-01,1.200000000000000000e+01,1.726518000000000150e-02,3.425351999999999680e+04,2.144593999999999945e-01,0.000000000000000000e+00
4.700000000000000000e+01,1.269982000000000055e-01,-7.202427999999999608e-01,6.819984000000000046e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,5.400000000000000000e+01,0.000000000000000000e+00,3.257400999999999840e+03,8.170387999999999540e-01,8.197212000000000387e-01,-5.082894999999999497e-01,-8.332884000000000402e-01,4.000000000000000000e+00,1.726518000000000150e-02,3.607887000000000262e+04,2.162764000000000075e-01,0.000000000000000000e+00
4.700000000000000000e+01,1.269982000000000055e-01,-7.202427999999999608e-01,6.819984000000000046e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,3.800000000000000000e+01,0.000000000000000000e+00,3.257581000000000131e+03,8.188461000000000212e-01,8.200952000000000242e-01,5.018027999999999933e-01,-1.444468999999999892e-01,4.600000000000000000e+01,1.726518000000000150e-02,3.532391999999999825e+04,2.150318999999999980e-01,0.000000000000000000e+00
4.700000000000000000e+01,1.269982000000000055e-01,-7.202427999999999608e-01,6.819984000000000046e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+01,0.000000000000000000e+00,3.257528999999999996e+03,-8.193468999999999891e-01,-8.218031000000000086e-01,-5.142584000000000044e-01,1.371188000000000129e-01,6.300000000000000000e+01,1.726518000000000150e-02,3.565381999999999971e+04,2.161330999999999947e-01,0.000000000000000000e+00
4.700000000000000000e+01,1.269982000000000055e-01,-7.202427999999999608e-01,6.819984000000000046e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,5.300000000000000000e+01,0.000000000000000000e+00,3.257402000000000044e+03,-8.184202000000000421e-01,-8.215303000000000466e-01,4.962270999999999765e-01,8.261893999999999627e-01,1.050000000000000000e+02,1.726518000000000150e-02,3.581105999999999767e+04,2.175478000000000134e-01,0.000000000000000000e+00
4.700000000000000000e+01,1.269982000000000055e-01,-7.202427999999999608e-01,6.819984000000000046e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.600000000000000000e+01,0.000000000000000000e+00,3.258996999999999844e+03,8.176735000000000531e-01,-8.214312000000000280e-01,-3.970483999999999819e-03,6.927651999999999699e-01,9.700000000000000000e+01,1.726518000000000150e-02,3.422237000000000262e+04,2.141258000000000050e-01,0.000000000000000000e+00
4.800000000000000000e+01,1.290457000000000132e-01,-7.318548000000000275e-01,6.691306000000000198e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,5.400000000000000000e+01,0.000000000000000000e+00,3.323623999999999796e+03,8.201346000000000469e-01,8.189454999999999929e-01,-5.097481999999999847e-01,-8.346023999999999665e-01,5.000000000000000000e+00,1.375409000000000007e-02,4.038486000000000058e+04,2.217338000000000087e-01,0.000000000000000000e+00
4.800000000000000000e+01,1.290457000000000132e-01,-7.318548000000000275e-01,6.691306000000000198e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,3.800000000000000000e+01,0.000000000000000000e+00,3.323644999999999982e+03,8.201144999999999685e-01,8.189779999999999838e-01,5.006642999999999510e-01,-1.585307999999999995e-01,4.500000000000000000e+01,1.375409000000000007e-02,4.025694999999999709e+04,2.214128999999999958e-01,0.000000000000000000e+00
4.800000000000000000e+01,1.290457000000000132e-01,-7.318548000000000275e-01,6.691306000000000198e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,4.700000000000000000e+01,0.000000000000000000e+00,3.324195000000000164e+03,-8.188083000000000444e-01,8.167303999999999675e-01,-1.878303999999999911e-03,-7.046485999999999583e-01,1.300000000000000000e+01,1.375409000000000007e-02,3.947990000000000146e+04,2.213267999999999902e-01,0.000000000000000000e+00
