1262.8	0.0000								
1263.2	1.0000								
1263.2	2.0000								
1263.1	3.0000								
1264.8	4.0000								
1266.1	5.0000								
1267.4	6.0000								
1268.9	7.0000								
1270.7	8.0000								
1272.8	9.0000								
1275.2	10.000								
1277.6	11.000								
1280.3	12.000								
1283.5	13.000								
1286.7	14.000								
1290.4	15.000								
1294.3	16.000								
1298.7	17.000								
1302.9	18.000								
1307.7	19.000								
1312.7	20.000								
1317.4	21.000								
1323.1	22.000								
1328.9	23.000								
1335.1	24.000								
1342.1	25.000								
1348.9	26.000								
1355.6	27.000								
1363.2	28.000								
1371.0	29.000								
1379.2	30.000								
1387.7	31.000								
1396.5	32.000								
1405.8	33.000								
1415.4	34.000								
1424.6	35.000								
1435.8	36.000								
1446.5	37.000								
1457.7	38.000								
1469.3	39.000								
1481.4	40.000								
1493.9	41.000								
1505.9	42.000								
1520.2	43.000								
1534.3	44.000								
1548.2	45.000								
1563.7	46.000								
1578.5	47.000								
1595.1	48.000								
1611.6	49.000								
1628.9	50.000								
1646.2	51.000								
1664.2	52.000								
1683.3	53.000								
1701.1	54.000								
1723.0	55.000								
1743.7	56.000								
1764.9	57.000								
1785.6	58.000								
1809.5	59.000								
1833.1	60.000								
1857.2	61.000								
1879.6	62.000								
1906.4	63.000								
1933.3	64.000								
1959.8	65.000								
1987.9	66.000								
