min F=100; num_slices=100; num_pts=200
angle,B_x,B_y,B_z,band number,Wien2k band number,spin dirn,branch,area [Angstrom^-2],freq [T],k_x,k_y,k_z,k_parallel,slicenum,inplane dk (Angstrom^-1),dF/dkpara^2,mass (m_e),df/dM [T/(mu_B/f.u.)]
3.000000000000000000e+00,9.088043000000000510e-03,-5.154086000000000084e-02,9.986294999999999478e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.328188000000000102e+03,8.176708000000000309e-01,8.177518000000000287e-01,-3.918882999999999742e-03,-3.863011000000000222e-02,5.100000000000000000e+01,1.795936000000000060e-02,-1.450302000000000044e+04,1.505395999999999956e-01,0.000000000000000000e+00
4.000000000000000000e+00,1.211308000000000003e-02,-6.869672000000000278e-02,9.975640999999999536e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.329688000000000102e+03,-8.193354000000000470e-01,-8.189883999999999498e-01,-4.076459999999999632e-03,4.227061000000000013e-02,5.800000000000000000e+01,1.794157000000000043e-02,-1.417825000000000000e+04,1.497914999999999941e-01,0.000000000000000000e+00
4.000000000000000000e+00,1.211308000000000003e-02,-6.869672000000000278e-02,9.975640999999999536e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.329815999999999804e+03,8.173415000000000541e-01,8.181637000000000493e-01,-5.193401999999999741e-03,-5.148537999999999726e-02,5.000000000000000000e+01,1.794157000000000043e-02,-1.471594000000000051e+04,1.486685000000000090e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.513444000000000074e-02,-8.583164999999999545e-02,9.961946999999999885e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.331954000000000178e+03,-8.193076999999999721e-01,-8.209026999999999852e-01,-7.471852000000000181e-03,5.061625000000000152e-02,5.900000000000000000e+01,1.792356999999999978e-02,-1.588850000000000000e+04,1.501087999999999867e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.513444000000000074e-02,-8.583164999999999545e-02,9.961946999999999885e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.331884000000000015e+03,8.170306000000000513e-01,8.189020000000000188e-01,-5.857990999999999893e-03,-6.375811000000000672e-02,4.900000000000000000e+01,1.792356999999999978e-02,-1.504559000000000015e+04,1.495169000000000081e-01,0.000000000000000000e+00
6.000000000000000000e+00,1.815117999999999940e-02,-1.029404000000000013e-01,9.945218999999999587e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.334534000000000106e+03,-8.200477999999999934e-01,-8.180834999999999635e-01,-4.727717999999999678e-03,6.462721999999999911e-02,6.000000000000000000e+01,1.790537999999999852e-02,-1.591163999999999942e+04,1.488585000000000047e-01,0.000000000000000000e+00
6.000000000000000000e+00,1.815117999999999940e-02,-1.029404000000000013e-01,9.945218999999999587e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.334509000000000015e+03,8.167398999999999631e-01,8.197119999999999962e-01,-6.241856999999999961e-03,-7.576439000000000090e-02,4.800000000000000000e+01,1.790537999999999852e-02,-1.557212999999999920e+04,1.495557000000000136e-01,0.000000000000000000e+00
7.000000000000000000e+00,2.116238999999999967e-02,-1.200178999999999968e-01,9.925462000000000451e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.336980000000000018e+03,-8.189775000000000249e-01,-8.225729999999999986e-01,-9.092388999999999333e-03,7.236731999999999887e-02,6.100000000000000000e+01,1.788702000000000000e-02,-1.326220000000000073e+04,1.492117000000000027e-01,0.000000000000000000e+00
7.000000000000000000e+00,2.116238999999999967e-02,-1.200178999999999968e-01,9.925462000000000451e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.337418999999999869e+03,8.167697999999999903e-01,8.202732000000000356e-01,-4.961616000000000290e-03,-8.608726999999999352e-02,4.700000000000000000e+01,1.788702000000000000e-02,-1.543394000000000051e+04,1.508056000000000119e-01,0.000000000000000000e+00
8.000000000000000000e+00,2.416716000000000003e-02,-1.370587000000000055e-01,9.902680999999999845e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.341018999999999778e+03,-8.199113999999999569e-01,-8.191277000000000141e-01,-6.463845999999999654e-03,8.605274999999999730e-02,6.200000000000000000e+01,1.786851999999999885e-02,-1.708402000000000044e+04,1.503317000000000125e-01,0.000000000000000000e+00
8.000000000000000000e+00,2.416716000000000003e-02,-1.370587000000000055e-01,9.902680999999999845e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.340762999999999920e+03,8.169676999999999634e-01,8.207834000000000518e-01,-2.915444000000000108e-03,-9.563882999999999412e-02,4.600000000000000000e+01,1.786851999999999885e-02,-1.507578000000000065e+04,1.502528999999999948e-01,0.000000000000000000e+00
9.000000000000000000e+00,2.716456000000000079e-02,-1.540578999999999976e-01,9.876882999999999635e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.344039000000000215e+03,-8.196959999999999802e-01,-8.193150000000000155e-01,-7.293090000000000336e-03,9.675195000000000323e-02,6.300000000000000000e+01,1.784989000000000020e-02,-1.231219000000000051e+04,1.496827000000000019e-01,0.000000000000000000e+00
9.000000000000000000e+00,2.716456000000000079e-02,-1.540578999999999976e-01,9.876882999999999635e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.344360000000000127e+03,8.169535999999999465e-01,8.216067999999999705e-01,-1.726251000000000044e-03,-1.060877999999999960e-01,4.500000000000000000e+01,1.784989000000000020e-02,-1.444987000000000080e+04,1.496707999999999927e-01,0.000000000000000000e+00
1.000000000000000000e+01,3.015369000000000035e-02,-1.710100999999999982e-01,9.848078000000000110e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.348992999999999938e+03,-8.197210999999999803e-01,-8.195542999999999578e-01,-5.939024000000000213e-03,1.095856000000000052e-01,6.400000000000000000e+01,1.783117000000000035e-02,-1.662247999999999956e+04,1.505636999999999948e-01,0.000000000000000000e+00
1.000000000000000000e+01,3.015369000000000035e-02,-1.710100999999999982e-01,9.848078000000000110e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.348496999999999844e+03,8.176584999999999548e-01,8.190695999999999533e-01,-2.808339999999999882e-03,-1.181794000000000039e-01,4.400000000000000000e+01,1.783117000000000035e-02,-1.351440999999999985e+04,1.489344999999999974e-01,0.000000000000000000e+00
1.100000000000000000e+01,3.313362999999999725e-02,-1.879101999999999995e-01,9.816272000000000331e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.353125000000000000e+03,-8.194496999999999476e-01,-8.194314000000000320e-01,-5.596592000000000060e-03,1.213343999999999950e-01,6.500000000000000000e+01,1.781239000000000086e-02,-1.301060000000000036e+04,1.505173999999999956e-01,0.000000000000000000e+00
1.100000000000000000e+01,3.313362999999999725e-02,-1.879101999999999995e-01,9.816272000000000331e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.353152000000000044e+03,8.171726999999999741e-01,8.201707000000000303e-01,-4.376371000000000427e-03,-1.313384999999999969e-01,4.300000000000000000e+01,1.781239000000000086e-02,-1.326396999999999935e+04,1.495380000000000043e-01,0.000000000000000000e+00
