B[T]	M*	Amp-other
6.009999999999999800e+00	1.297122884682222200e-01	5.177917121168681600e-05
6.092710000000000300e+00	7.665278519583818000e-02	8.152983836038066400e-06
6.177730000000000400e+00	1.219729137639570000e-05	1.580769974922551100e-06
6.265150000000000200e+00	3.692215825663154900e-01	1.190259618803692700e-06
6.355080000000000100e+00	9.743987864558540900e-01	2.223094616615672100e-06
6.447639999999999800e+00	1.416447492708443400e+00	3.011941468342704900e-06
6.542930000000000100e+00	1.194941608969842400e+00	2.549524128354932000e-06
6.641070000000000000e+00	1.229820727479003200e+00	2.626269142483930100e-06
6.742210000000000000e+00	1.391673159897451000e+00	3.093845029154363000e-06
6.846479999999999700e+00	1.441985977746043300e+00	3.546984708013916400e-06
6.954019999999999900e+00	1.501146749821931300e+00	3.989894744593796500e-06
7.064989999999999900e+00	1.514899014130751900e+00	4.398576770829709300e-06
7.179560000000000400e+00	1.568561271321912800e+00	5.081746273863801300e-06
7.297909999999999900e+00	1.597795387941379100e+00	5.788477217744828700e-06
7.420230000000000100e+00	1.623154697414158000e+00	6.530682195711884500e-06
7.546710000000000000e+00	1.642925418857934500e+00	7.162902154794160800e-06
7.677590000000000400e+00	1.654301710419342700e+00	7.983388860806754300e-06
7.813080000000000200e+00	1.659815956299579800e+00	8.886617516892239300e-06
7.953439999999999600e+00	1.630119777159452900e+00	9.922238159511069700e-06
8.098940000000000700e+00	1.599108041773935200e+00	1.093521370271512500e-05
8.249860000000000000e+00	1.594800924381972300e+00	1.214975653555211400e-05
8.406510000000000800e+00	1.606261158243730700e+00	1.355713770429247200e-05
8.569219999999999600e+00	1.605343832004217500e+00	1.510425114556704200e-05
8.738360000000000100e+00	1.607117170494657200e+00	1.710292207873275100e-05
8.914310000000000400e+00	1.616518714244727300e+00	1.930868427822175800e-05
9.097490000000000500e+00	1.617327696873721400e+00	2.195136642182437400e-05
9.288349999999999400e+00	1.612655123892059000e+00	2.451965086756031800e-05
9.487399999999999200e+00	1.610202606466433200e+00	2.762632875904790500e-05
9.695169999999999200e+00	1.612354735612198300e+00	3.095895870887752100e-05
9.912229999999999200e+00	1.614456232960579200e+00	3.496802253865259300e-05
1.013925000000000100e+01	1.619486257991264100e+00	3.944514008512674600e-05
1.037689999999999900e+01	1.623847720176330200e+00	4.432764110654689700e-05
1.062595999999999900e+01	1.626373362106672000e+00	4.975837725773635600e-05
1.088726999999999900e+01	1.627823290583972000e+00	5.559751825296086700e-05
1.116175000000000000e+01	1.631686306100545800e+00	6.261215164668193600e-05
1.145044000000000000e+01	1.636489969015211000e+00	7.053550222209944000e-05
1.175445000000000000e+01	1.640940769940348900e+00	7.959462969719941000e-05
1.207504999999999900e+01	1.640999371819381200e+00	8.961977959187081900e-05
1.241362999999999900e+01	1.640405701355386500e+00	1.005871838759709600e-04
1.277173999999999900e+01	1.640465164537175300e+00	1.129789457041426000e-04
1.315113000000000000e+01	1.644125300144009700e+00	1.269139862969035900e-04
1.355373999999999900e+01	1.648885982627906800e+00	1.422828989395253100e-04
1.398179000000000000e+01	1.649559438882764800e+00	1.605335227036518200e-04
1.443776000000000100e+01	1.649518756107659000e+00	1.802576493727063200e-04
1.492446000000000000e+01	1.646967910852859900e+00	2.042672940509260000e-04
1.544513000000000100e+01	1.652465561901141700e+00	2.284708594300112200e-04
1.600344000000000100e+01	1.660904853063323700e+00	2.550925874010797100e-04
1.660361999999999900e+01	1.669192932218406700e+00	2.858101700451972700e-04
1.725057999999999900e+01	1.648610998393298600e+00	3.623332186665107900e-04
1.794999999999999900e+01	1.547110102609207800e+00	7.826392204063608200e-04
