B[T]	M*	Amp-other
6.009999999999999800e+00	2.454913770216972000e-05	4.689524651965570600e-05
6.092710000000000300e+00	2.855878057977668500e-05	5.606522226050967200e-06
6.177730000000000400e+00	-1.242335363730953900e-05	1.722485106482716200e-06
6.265150000000000200e+00	-7.300321267900947300e-05	7.896462294154949800e-07
6.355080000000000100e+00	2.509932350650601700e-02	4.932303840807045500e-07
6.447639999999999800e+00	-5.515184030095390300e-01	7.673401249572991800e-07
6.542930000000000100e+00	-6.366411683510372300e-01	9.602757307796989000e-07
6.641070000000000000e+00	-5.082048257932476600e-01	8.614375528053597500e-07
6.742210000000000000e+00	8.291348331243494400e-01	1.161423321555203000e-06
6.846479999999999700e+00	1.285752658430734400e+00	2.087399863303038100e-06
6.954019999999999900e+00	1.496880588982903300e+00	2.832008004699083400e-06
7.064989999999999900e+00	1.368554623483269900e+00	2.894550743907795200e-06
7.179560000000000400e+00	1.320895221234601500e+00	3.106129478276121500e-06
7.297909999999999900e+00	1.404210755956842000e+00	3.752372241516439200e-06
7.420230000000000100e+00	1.436872969474150000e+00	4.395443118780361500e-06
7.546710000000000000e+00	1.473391623589181500e+00	4.854372429709926600e-06
7.677590000000000400e+00	1.537371953136722700e+00	5.183637713745197300e-06
7.813080000000000200e+00	1.588869986665804300e+00	5.442666265753242200e-06
7.953439999999999600e+00	1.620145907642304600e+00	5.562974278907135000e-06
8.098940000000000700e+00	1.592749806693738400e+00	5.409713189609377900e-06
8.249860000000000000e+00	1.575230524230558400e+00	5.213594848539062200e-06
8.406510000000000800e+00	1.616085828137270300e+00	5.113077490615131100e-06
8.569219999999999600e+00	1.546857237750764300e+00	4.893906338966517700e-06
8.738360000000000100e+00	1.518475580755081800e+00	5.044549704557901300e-06
8.914310000000000400e+00	1.537708050280487600e+00	5.822784030387887200e-06
9.097490000000000500e+00	1.516798549525266500e+00	7.175004429521364700e-06
9.288349999999999400e+00	1.496205536428034200e+00	9.163384973610946000e-06
9.487399999999999200e+00	1.519758732066161400e+00	1.171408950334632700e-05
9.695169999999999200e+00	1.546865612038937000e+00	1.457913948066407300e-05
9.912229999999999200e+00	1.555819041038637900e+00	1.768855712197489400e-05
1.013925000000000100e+01	1.553251255213227200e+00	2.118679012091506600e-05
1.037689999999999900e+01	1.554579434997946700e+00	2.503271852630885900e-05
1.062595999999999900e+01	1.563150538510593900e+00	2.886625408752650200e-05
1.088726999999999900e+01	1.573640252797851500e+00	3.235976284168490100e-05
1.116175000000000000e+01	1.581630190916880800e+00	3.550185169989956900e-05
1.145044000000000000e+01	1.587159341933437600e+00	3.833732986086875200e-05
1.175445000000000000e+01	1.589249552486650800e+00	4.063309111977320100e-05
1.207504999999999900e+01	1.586740387258363600e+00	4.222291550262360400e-05
1.241362999999999900e+01	1.584054095054841200e+00	4.331596043223745800e-05
1.277173999999999900e+01	1.591061378977872300e+00	4.421072478324983400e-05
1.315113000000000000e+01	1.612627490808591600e+00	4.496971737365226500e-05
1.355373999999999900e+01	1.636931014781634500e+00	4.562926260887962200e-05
1.398179000000000000e+01	1.642376367819133400e+00	4.692726578773995500e-05
1.443776000000000100e+01	1.620323883838223900e+00	5.023592081137561700e-05
1.492446000000000000e+01	1.591154736185459000e+00	5.669315953654449800e-05
1.544513000000000100e+01	1.576014195939895900e+00	6.629283169827377700e-05
1.600344000000000100e+01	1.576449501515183600e+00	7.832890931432221700e-05
1.660361999999999900e+01	1.579374694859660300e+00	9.428472797727017400e-05
1.725057999999999900e+01	1.550484888497504000e+00	1.363586705363890800e-04
1.794999999999999900e+01	1.496788288609741200e+00	4.239766860248516300e-04
