B[T]	M*	Amp-other
6.009999999999999800e+00	-3.121150434074386700e-06	1.639874581376258300e-04
6.092710000000000300e+00	7.570715614538457100e-05	1.021531943038978100e-05
6.177730000000000400e+00	-6.351879626648567400e-05	2.305497361601345400e-06
6.265150000000000200e+00	-3.683018266582133700e-05	1.145250686024047000e-06
6.355080000000000100e+00	-3.317424214900466900e-06	7.091390946228523900e-07
6.447639999999999800e+00	4.767352411766669600e-05	5.143005235965349000e-07
6.542930000000000100e+00	-2.425854210397547600e-05	4.399870104964865300e-07
6.641070000000000000e+00	1.486961080068068700e-05	3.878441227590421900e-07
6.742210000000000000e+00	-3.771061108221091800e-06	3.437824330384241200e-07
6.846479999999999700e+00	-6.481123665440772700e-05	3.310143901316473800e-07
6.954019999999999900e+00	-8.469981034493796700e-02	3.334725528067135700e-07
7.064989999999999900e+00	-1.930246220141059900e-04	3.367111876969019900e-07
7.179560000000000400e+00	7.064090117252397500e-06	3.441155355130672200e-07
7.297909999999999900e+00	8.314945246061259600e-05	3.423641678925297600e-07
7.420230000000000100e+00	-1.720235570810469700e-05	3.403903453900652600e-07
7.546710000000000000e+00	-2.615560693266494900e-01	3.536202926434288400e-07
7.677590000000000400e+00	6.095233025129620500e-01	3.838091720526153700e-07
7.813080000000000200e+00	4.651393704212848900e-01	3.626357435821325400e-07
7.953439999999999600e+00	-2.587679858552863800e-01	3.569761263803714100e-07
8.098940000000000700e+00	-3.150317186593337700e-06	3.646393318388845100e-07
8.249860000000000000e+00	-2.234748889172293000e-06	3.695237054510668400e-07
8.406510000000000800e+00	8.234389497791959500e-06	3.701916657689007900e-07
8.569219999999999600e+00	1.871403002862689900e-01	3.870212994598725400e-07
8.738360000000000100e+00	6.392044827371059500e-01	4.619926683086415100e-07
8.914310000000000400e+00	9.565687255005668200e-01	5.706197614869218600e-07
9.097490000000000500e+00	1.164348743674262800e+00	6.909987045653080900e-07
9.288349999999999400e+00	1.340443719300630000e+00	8.301837425232537600e-07
9.487399999999999200e+00	1.522460810933480100e+00	9.917101631827868400e-07
9.695169999999999200e+00	1.658421873180594900e+00	1.154346367080775200e-06
9.912229999999999200e+00	1.778359232580077700e+00	1.299686742879612800e-06
1.013925000000000100e+01	1.898777387659283900e+00	1.418368473866532800e-06
1.037689999999999900e+01	2.015075290131585400e+00	1.513056788279695100e-06
1.062595999999999900e+01	2.104989473322050200e+00	1.610525641009646500e-06
1.088726999999999900e+01	2.109725856824941300e+00	1.751737591089018100e-06
1.116175000000000000e+01	2.052521833210380700e+00	1.989801561056991800e-06
1.145044000000000000e+01	2.025946279702304200e+00	2.326732898962706100e-06
1.175445000000000000e+01	2.019382607140333800e+00	2.729620158440569100e-06
1.207504999999999900e+01	2.020756800309643900e+00	3.174184546832903700e-06
1.241362999999999900e+01	2.038672404512224200e+00	3.658827160828264300e-06
1.277173999999999900e+01	2.080265832094342100e+00	4.205080306686748200e-06
1.315113000000000000e+01	2.128619371189622600e+00	4.867876590175055900e-06
1.355373999999999900e+01	2.165965207781179700e+00	5.703904811466631600e-06
1.398179000000000000e+01	2.195322422653079600e+00	6.727994745236691200e-06
1.443776000000000100e+01	2.226715203639731300e+00	7.894335398478861400e-06
1.492446000000000000e+01	2.263639329043360500e+00	9.159879509732998900e-06
1.544513000000000100e+01	2.315445854294997400e+00	1.051711644116256200e-05
1.600344000000000100e+01	2.401854472165262600e+00	1.196745608976880100e-05
1.660361999999999900e+01	2.563062800838051800e+00	1.363212959962239500e-05
1.725057999999999900e+01	2.556267603721532400e+00	1.482889354935356600e-05
1.794999999999999900e+01	2.039997273006776700e-01	2.286778576430182400e-05
