B[T]	M*	Amp-other
6.009999999999999800e+00	-9.027429588935056100e-05	1.297667430203134000e-05
6.092710000000000300e+00	1.037972019724432000e-06	6.591602674399870600e-06
6.177730000000000400e+00	-8.640162979029979400e-06	1.611529114304931700e-06
6.265150000000000200e+00	-4.100379714991591500e-07	6.654133706852426900e-07
6.355080000000000100e+00	-1.572876868318098300e-06	5.313668188029024500e-07
6.447639999999999800e+00	-8.479228837160332700e-06	3.647539409583917100e-07
6.542930000000000100e+00	1.859637598870291000e-06	3.235446574445701700e-07
6.641070000000000000e+00	1.921261606367792800e-05	3.136504759815661700e-07
6.742210000000000000e+00	5.093171116156151500e-05	2.876926472476105700e-07
6.846479999999999700e+00	-5.965630930042072400e-05	2.850628296874591200e-07
6.954019999999999900e+00	-5.293108629761617300e-06	2.304076277417129500e-07
7.064989999999999900e+00	3.817339771378710400e-06	2.843228518935947300e-07
7.179560000000000400e+00	-6.528866451973443200e-02	2.740486044020118000e-07
7.297909999999999900e+00	-3.168261687768174800e-05	3.219549364407297200e-07
7.420230000000000100e+00	-1.426136852683702000e-01	3.578025394471931000e-07
7.546710000000000000e+00	-2.321973482005934000e-01	3.332547252563031500e-07
7.677590000000000400e+00	1.546487350001664800e-05	3.080732242144749600e-07
7.813080000000000200e+00	-5.356149765878398500e-01	3.306858789567577900e-07
7.953439999999999600e+00	5.838257223863708700e-01	3.833704532061782700e-07
8.098940000000000700e+00	5.651144905027457600e-01	3.802737493100327400e-07
8.249860000000000000e+00	5.677688448636784000e-01	3.050754523058403000e-07
8.406510000000000800e+00	8.624538954525685600e-01	3.200529203947677700e-07
8.569219999999999600e+00	-1.293290435746435400e-05	3.244207038860531600e-07
8.738360000000000100e+00	1.314505868786170700e-04	3.716492751252968100e-07
8.914310000000000400e+00	-1.513096640981233600e-05	4.438567725836939500e-07
9.097490000000000500e+00	-1.010676606501676400e-04	4.244175630275856800e-07
9.288349999999999400e+00	1.334476224216981200e+00	5.492545897072118400e-07
9.487399999999999200e+00	1.289018863282003900e+00	5.684886216735342900e-07
9.695169999999999200e+00	1.494156919581940000e+00	7.205980094572040400e-07
9.912229999999999200e+00	1.122295785732762000e+00	7.491256736838698500e-07
1.013925000000000100e+01	1.265195798574421800e+00	7.936103495389785700e-07
1.037689999999999900e+01	1.403246555464577400e+00	7.955936002500098500e-07
1.062595999999999900e+01	2.013244216958011800e+00	1.093574488516633100e-06
1.088726999999999900e+01	2.685130992666348700e+00	1.618623053259286200e-06
1.116175000000000000e+01	2.764758634433463100e+00	1.925522557416640700e-06
1.145044000000000000e+01	3.123135956780350500e+00	2.462726818621512800e-06
1.175445000000000000e+01	3.344043354312622000e+00	3.045106154432924000e-06
1.207504999999999900e+01	3.481773238243715900e+00	3.623393397527699800e-06
1.241362999999999900e+01	3.476894604957094800e+00	3.993858613892054100e-06
1.277173999999999900e+01	3.273499647933294300e+00	4.129752795840032900e-06
1.315113000000000000e+01	3.178008620437179600e+00	4.581686539315531700e-06
1.355373999999999900e+01	3.314121118374825100e+00	5.644167040472411400e-06
1.398179000000000000e+01	3.438993852566280700e+00	6.798982059418749200e-06
1.443776000000000100e+01	3.246692968474115500e+00	7.427279047133233100e-06
1.492446000000000000e+01	3.097228362171707600e+00	8.182791164182491100e-06
1.544513000000000100e+01	3.169289929482462600e+00	9.842521685872821700e-06
1.600344000000000100e+01	3.400242838977185500e+00	1.230151311802443900e-05
1.660361999999999900e+01	3.502377921432926900e+00	1.475127924967862600e-05
1.725057999999999900e+01	2.647588842317035500e+00	1.616821637431824800e-05
1.794999999999999900e+01	1.324447402905478000e+00	2.576830448094534100e-05
