Field	T\dRuOx\n	T\dCernox\n	T\dRuOx\n Corrected	T\dCernox\n Corrected
1.802250000000000100e+01	2.932000000000000200e-01	4.561999999999999900e-01	3.441720008850097700e-01	3.542044162750244100e-01
1.802250000000000100e+01	2.933999999999999900e-01	4.561000000000000100e-01	3.444073200225830100e-01	3.538982868194580100e-01
1.802250000000000100e+01	2.931000000000000300e-01	4.561000000000000100e-01	3.440138101577758800e-01	3.538982868194580100e-01
1.802250000000000100e+01	2.931000000000000300e-01	4.561000000000000100e-01	3.440138101577758800e-01	3.538982868194580100e-01
1.802250000000000100e+01	2.936000000000000300e-01	4.561000000000000100e-01	3.446457386016845700e-01	3.538982868194580100e-01
1.802250000000000100e+01	2.929999999999999800e-01	4.561999999999999900e-01	3.439435958862304700e-01	3.542044162750244100e-01
1.802250000000000100e+01	2.937000000000000200e-01	4.561999999999999900e-01	3.447722196578979500e-01	3.542044162750244100e-01
1.802250000000000100e+01	2.933999999999999900e-01	4.561000000000000100e-01	3.444073200225830100e-01	3.538982868194580100e-01
1.802250000000000100e+01	2.934999999999999800e-01	4.561000000000000100e-01	3.445122241973877000e-01	3.538982868194580100e-01
1.802250000000000100e+01	2.933999999999999900e-01	4.561000000000000100e-01	3.444073200225830100e-01	3.538982868194580100e-01
1.802250000000000100e+01	2.932000000000000200e-01	4.561000000000000100e-01	3.441720008850097700e-01	3.538982868194580100e-01
1.802250000000000100e+01	2.933000000000000100e-01	4.561000000000000100e-01	3.442738056182861300e-01	3.538982868194580100e-01
1.802250000000000100e+01	2.936000000000000300e-01	4.561000000000000100e-01	3.446457386016845700e-01	3.538982868194580100e-01
1.802250000000000100e+01	2.936000000000000300e-01	4.561999999999999900e-01	3.446457386016845700e-01	3.542044162750244100e-01
1.802250000000000100e+01	2.933999999999999900e-01	4.561000000000000100e-01	3.444073200225830100e-01	3.538982868194580100e-01
1.802250000000000100e+01	2.936000000000000300e-01	4.561000000000000100e-01	3.446457386016845700e-01	3.538982868194580100e-01
1.802250000000000100e+01	2.933999999999999900e-01	4.561000000000000100e-01	3.444073200225830100e-01	3.538982868194580100e-01
1.802250000000000100e+01	2.933000000000000100e-01	4.561000000000000100e-01	3.442738056182861300e-01	3.538982868194580100e-01
1.802250000000000100e+01	2.933000000000000100e-01	4.561000000000000100e-01	3.442738056182861300e-01	3.538982868194580100e-01
1.802250000000000100e+01	2.937000000000000200e-01	4.561000000000000100e-01	3.447722196578979500e-01	3.538982868194580100e-01
1.802250000000000100e+01	2.931000000000000300e-01	4.561000000000000100e-01	3.440138101577758800e-01	3.538982868194580100e-01
1.801950000000000100e+01	2.933999999999999900e-01	4.561000000000000100e-01	3.444147109985351600e-01	3.536827564239502000e-01
1.801579999999999900e+01	2.936000000000000300e-01	4.561000000000000100e-01	3.446686267852783200e-01	3.534631729125976600e-01
1.801220000000000000e+01	2.932000000000000200e-01	4.561000000000000100e-01	3.441975116729736300e-01	3.535456657409668000e-01
1.800850000000000200e+01	2.933999999999999900e-01	4.561000000000000100e-01	3.443471193313598600e-01	3.534975051879882800e-01
1.800489999999999900e+01	2.934999999999999800e-01	4.561000000000000100e-01	3.445401191711425800e-01	3.535768985748291000e-01
1.800120000000000100e+01	2.933000000000000100e-01	4.561000000000000100e-01	3.442500829696655300e-01	3.532307147979736300e-01
1.799749999999999900e+01	2.933999999999999900e-01	4.561000000000000100e-01	3.444286584854126000e-01	3.531389236450195300e-01
1.799370000000000000e+01	2.933000000000000100e-01	4.560000000000000200e-01	3.442813158035278300e-01	3.529393672943115200e-01
1.799010000000000200e+01	2.933000000000000100e-01	4.560000000000000200e-01	3.442891836166381800e-01	3.527221679687500000e-01
1.798640000000000000e+01	2.933999999999999900e-01	4.560000000000000200e-01	3.443828821182251000e-01	3.529527187347412100e-01
1.798270000000000100e+01	2.934999999999999800e-01	4.560000000000000200e-01	3.444805145263671900e-01	3.525969982147216800e-01
1.797909999999999900e+01	2.932000000000000200e-01	4.559000000000000300e-01	3.441449403762817400e-01	3.527092933654785200e-01
1.797540000000000000e+01	2.933999999999999900e-01	4.559000000000000300e-01	3.443616628646850600e-01	3.525333404541015600e-01
1.797169999999999800e+01	2.936000000000000300e-01	4.559000000000000300e-01	3.446141481399536100e-01	3.522377014160156300e-01
1.796810000000000000e+01	2.934999999999999800e-01	4.559000000000000300e-01	3.444706201553344700e-01	3.523299694061279300e-01
1.796450000000000100e+01	2.937000000000000200e-01	4.559000000000000300e-01	3.447215557098388700e-01	3.523149490356445300e-01
1.796079999999999900e+01	2.933999999999999900e-01	4.557999999999999800e-01	3.443750143051147500e-01	3.519122600555419900e-01
1.795710000000000100e+01	2.933999999999999900e-01	4.557999999999999800e-01	3.443388938903808600e-01	3.520905971527099600e-01
1.795349999999999800e+01	2.936000000000000300e-01	4.557999999999999800e-01	3.446079492568969700e-01	3.522641658782959000e-01
1.794980000000000000e+01	2.934999999999999800e-01	4.557999999999999800e-01	3.444430828094482400e-01	3.520872592926025400e-01
1.794610000000000100e+01	2.932000000000000200e-01	4.557999999999999800e-01	3.441299200057983400e-01	3.520812988281250000e-01
1.794249999999999900e+01	2.933000000000000100e-01	4.556999999999999900e-01	3.442296981811523400e-01	3.519520759582519500e-01
1.793880000000000100e+01	2.936000000000000300e-01	4.556999999999999900e-01	3.445972204208374000e-01	3.520085811614990200e-01
1.793509999999999800e+01	2.934999999999999800e-01	4.556999999999999900e-01	3.444538116455078100e-01	3.516967296600341800e-01
1.793140000000000000e+01	2.936000000000000300e-01	4.556999999999999900e-01	3.445937633514404300e-01	3.517777919769287100e-01
1.792780000000000100e+01	2.934999999999999800e-01	4.556000000000000000e-01	3.444728851318359400e-01	3.517110347747802700e-01
1.792409999999999900e+01	2.934999999999999800e-01	4.556999999999999900e-01	3.444623947143554700e-01	3.515765666961669900e-01
1.792050000000000100e+01	2.933999999999999900e-01	4.556000000000000000e-01	3.443315029144287100e-01	3.517758846282959000e-01
1.791679999999999900e+01	2.936000000000000300e-01	4.556000000000000000e-01	3.445881605148315400e-01	3.516700267791748000e-01
1.791310000000000000e+01	2.933000000000000100e-01	4.555000000000000200e-01	3.442237377166748000e-01	3.514618873596191400e-01
1.790940000000000200e+01	2.934999999999999800e-01	4.555000000000000200e-01	3.444633483886718800e-01	3.514361381530761700e-01
1.790570000000000000e+01	2.936000000000000300e-01	4.555000000000000200e-01	3.445932865142822300e-01	3.517923355102539100e-01
1.790210000000000100e+01	2.932000000000000200e-01	4.554000000000000300e-01	3.441191911697387700e-01	3.515372276306152300e-01
1.789839999999999900e+01	2.933999999999999900e-01	4.554000000000000300e-01	3.443623781204223600e-01	3.513445854187011700e-01
1.789470000000000000e+01	2.934999999999999800e-01	4.554000000000000300e-01	3.444612026214599600e-01	3.514468669891357400e-01
1.789110000000000200e+01	2.933999999999999900e-01	4.554000000000000300e-01	3.443673849105835000e-01	3.514339923858642600e-01
1.788749999999999900e+01	2.929999999999999800e-01	4.552999999999999800e-01	3.438338041305542000e-01	3.512058258056640600e-01
